Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUB, 25420.22, 1020.923, 25420.22, 1020.923, 0, 0
Transformer.REG1, 2102.28, 264.4125, 2102.28, 264.4125, 0, 0
Transformer.REG2, 1063.524, 134.5785, 1063.524, 134.5785, 0, 0
Transformer.REG3, 1912.744, 240.722, 1912.744, 240.722, 0, 0
Transformer.XFM1, 2877.524, 5232.321, 2877.524, 5232.321, 0, 0
Capacitor.CAP1, -1.818989E-012, -548050.8, -1.818989E-012, -548050.8, 0, 0
Capacitor.CAP2, 7.275958E-012, -87182.88, 7.275958E-012, -87182.88, 0, 0
Line.650632, 26482.64, 85270.79, 26482.64, 85270.79, 0, 0
Line.632671, 16663.31, 53383.21, 16663.31, 53383.21, 0, 0
Line.671680, 7.308159E-009, -3.843772, 7.308159E-009, -3.843772, 0, 0
Line.632633, 426.9734, 545.8232, 426.9734, 545.8232, 0, 0
Line.632645, 1443.901, 1253.656, 1443.901, 1253.656, 0, 0
Line.645646, 271.1963, 215.4883, 271.1963, 215.4883, 0, 0
Line.671684, 318.3622, 254.7153, 318.3622, 254.7153, 0, 0
Line.684611, 214.5529, 217.2052, 214.5529, 217.2052, 0, 0
Line.684652, 435.3801, 98.63446, 435.3801, 98.63446, 0, 0
Line.692675, 2190.876, 1210.142, 2190.876, 1210.142, 0, 0
Line.671692, 6.79872, 6.791307, 6.79872, 6.791307, 0, 0
