hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2373.99, 0.172856, 2381.51, -119.969, 2375, 120.092, 333.036, -22.6052, 233.395, -132.494, 316.357, 103.019
2, 0.00000, 2376.3, 0.141314, 2383.34, -119.988, 2377.43, 120.059, 303.475, -21.1202, 212.005, -130.428, 286.135, 105.345
3, 0.00000, 2378.79, 0.108443, 2385.16, -120.006, 2379.88, 120.027, 272.018, -19.272, 191.052, -127.953, 256.097, 108.214
4, 0.00000, 2378.79, 0.108438, 2385.16, -120.006, 2379.89, 120.027, 272.015, -19.2717, 191.052, -127.953, 256.091, 108.214
5, 0.00000, 2376.3, 0.14129, 2383.34, -119.988, 2377.43, 120.059, 303.464, -21.1186, 211.995, -130.427, 286.084, 105.349
6, 0.00000, 2369.58, 0.231922, 2377.83, -119.931, 2370.65, 120.155, 389.885, -24.7278, 277.262, -135.741, 371.886, 99.5555
7, 0.00000, 2361.26, 0.348352, 2370.47, -119.853, 2362.37, 120.281, 498.834, -27.6431, 367.005, -139.916, 481.086, 94.8236
8, 0.00000, 2353.55, 0.464013, 2363.47, -119.774, 2354.66, 120.403, 601.997, -29.6957, 454.059, -142.622, 585.145, 91.8766
9, 0.00000, 2349.87, 0.521455, 2360.14, -119.734, 2351, 120.462, 651.827, -30.5225, 495.972, -143.679, 635.065, 90.7767
10, 0.00000, 2346.31, 0.578537, 2356.86, -119.694, 2347.45, 120.521, 700.513, -31.2557, 537.548, -144.599, 683.944, 89.8196
11, 0.00000, 2342.85, 0.635198, 2353.63, -119.653, 2344.01, 120.579, 748.077, -31.9138, 578.888, -145.417, 731.79, 88.9743
12, 0.00000, 2341.16, 0.663368, 2352.04, -119.632, 2342.32, 120.608, 771.444, -32.2193, 599.284, -145.789, 755.333, 88.5867
13, 0.00000, 2339.5, 0.691496, 2350.49, -119.613, 2340.66, 120.637, 794.549, -32.5124, 619.181, -146.132, 778.62, 88.2184
14, 0.00000, 2341.16, 0.663443, 2352.04, -119.632, 2342.33, 120.608, 771.431, -32.2227, 599.284, -145.79, 755.301, 88.5844
15, 0.00000, 2342.85, 0.635252, 2353.63, -119.653, 2344.01, 120.579, 748.063, -31.9165, 578.884, -145.417, 731.764, 88.9727
16, 0.00000, 2344.57, 0.606971, 2355.24, -119.673, 2345.72, 120.55, 724.422, -31.5956, 558.245, -145.02, 707.973, 89.3831
17, 0.00000, 2346.31, 0.578579, 2356.86, -119.694, 2347.46, 120.521, 700.504, -31.2578, 537.546, -144.599, 683.924, 89.8183
18, 0.00000, 2348.08, 0.550082, 2358.5, -119.714, 2349.22, 120.492, 676.304, -30.9014, 516.787, -144.153, 659.618, 90.2813
19, 0.00000, 2349.87, 0.521485, 2360.14, -119.734, 2351, 120.462, 651.821, -30.5241, 495.971, -143.679, 635.052, 90.7757
20, 0.00000, 2353.55, 0.464051, 2363.47, -119.774, 2354.66, 120.403, 601.99, -29.6979, 454.06, -142.622, 585.126, 91.8751
21, 0.00000, 2357.35, 0.406333, 2366.88, -119.814, 2358.42, 120.344, 550.996, -28.7504, 411.306, -141.359, 534.169, 93.163
22, 0.00000, 2361.26, 0.348362, 2370.46, -119.853, 2362.37, 120.281, 498.833, -27.6437, 367.024, -139.917, 481.086, 94.8225
23, 0.00000, 2365.3, 0.290149, 2374.12, -119.892, 2366.46, 120.218, 445.481, -26.3159, 322.258, -138.17, 426.69, 96.9197
24, 0.00000, 2369.58, 0.231915, 2377.83, -119.931, 2370.65, 120.155, 389.889, -24.7273, 277.313, -135.745, 371.899, 99.5534
