hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2272.87, -3.37506, 2404.01, -121.612, 2277.53, 117.577, 3.18323E-012, 180, 1.22444E-012, -68.1986, 1.81899E-012, 90
2, 0.00000, 2286.16, -3.12164, 2407.05, -121.517, 2294.86, 117.725, 3.27923E-012, -33.6901, 6.4311E-013, 45, 1.81899E-012, 180
3, 0.00000, 2300.63, -2.8393, 2409.21, -121.421, 2312.64, 117.861, 2.27374E-012, -36.8699, 2.87607E-012, -108.435, 0, 0
4, 0.00000, 2300.63, -2.83925, 2409.21, -121.421, 2312.64, 117.861, 3.18323E-012, -90, 1.87497E-012, -75.9638, 0, 0
5, 0.00000, 2286.16, -3.12151, 2407.05, -121.517, 2294.89, 117.726, 4.54747E-013, -90, 3.21555E-012, -45, 3.63798E-012, 0
6, 0.00000, 2246.73, -3.85702, 2397.2, -121.832, 2246.43, 117.34, 1.28622E-012, 45, 5.92918E-012, -32.4712, 1.81899E-012, -90
7, 0.00000, 2196.37, -4.76426, 2382.36, -122.298, 2186.66, 116.894, 3.66629E-012, -60.2551, 6.85523E-012, 5.71059, 2.57244E-012, 45
8, 0.00000, 2148.29, -5.60295, 2367.15, -122.751, 2131.15, 116.47, 3.63798E-012, -90, 6.4311E-013, 135, 3.63798E-012, 180
9, 0.00000, 2125, -6.0062, 2359.59, -122.968, 2104.82, 116.267, 4.7477E-012, -106.699, 4.89778E-012, 21.8014, 1.81899E-012, 90
10, 0.00000, 2102.16, -6.3974, 2351.84, -123.186, 2079.21, 116.069, 5.91172E-012, -90, 2.87607E-012, 18.4349, 2.57244E-012, 45
11, 0.00000, 2079.78, -6.77632, 2343.84, -123.403, 2054.29, 115.875, 4.54747E-013, -90, 5.30322E-012, -59.0362, 0, 0
12, 0.00000, 2068.76, -6.96225, 2339.83, -123.512, 2042.06, 115.781, 4.54747E-013, 180, 2.65161E-012, -149.036, 1.81899E-012, 0
13, 0.00000, 2057.85, -7.14757, 2335.97, -123.618, 2029.95, 115.688, 1.28622E-012, 135, 3.21555E-012, -135, 2.57244E-012, 45
14, 0.00000, 2068.73, -6.96146, 2339.83, -123.512, 2042.08, 115.782, 4.57015E-012, -84.2894, 2.65161E-012, -30.9638, 1.81899E-012, 90
15, 0.00000, 2079.76, -6.77567, 2343.84, -123.404, 2054.31, 115.876, 1.43804E-012, -71.565, 2.41702E-012, -138.814, 4.06738E-012, -63.4349
16, 0.00000, 2090.89, -6.58782, 2347.87, -123.295, 2066.68, 115.972, 1.43804E-012, -18.4349, 3.97091E-012, -23.6294, 1.81899E-012, -90
17, 0.00000, 2102.14, -6.39694, 2351.84, -123.186, 2079.22, 116.069, 2.03369E-012, 116.565, 5.68434E-012, -36.8699, 1.81899E-012, 0
18, 0.00000, 2113.51, -6.20298, 2355.75, -123.077, 2091.93, 116.168, 1.28622E-012, -45, 6.4311E-013, 135, 2.57244E-012, 45
19, 0.00000, 2124.99, -6.00589, 2359.59, -122.968, 2104.83, 116.267, 3.63798E-012, -90, 6.82121E-013, -90, 2.57244E-012, -45
20, 0.00000, 2148.28, -5.60256, 2367.15, -122.751, 2131.16, 116.47, 1.36424E-012, 0, 0, 0, 2.57244E-012, 45
21, 0.00000, 2172.05, -5.18982, 2374.73, -122.532, 2158.15, 116.68, 6.62122E-012, -74.0546, 3.21555E-012, 45, 1.81899E-012, 180
22, 0.00000, 2196.37, -4.76409, 2382.35, -122.298, 2186.66, 116.894, 2.31877E-012, 78.6901, 5.49473E-012, -155.556, 1.81899E-012, 0
23, 0.00000, 2221.19, -4.32387, 2389.72, -122.062, 2216.22, 117.114, 2.44889E-012, 158.199, 1.87497E-012, -75.9638, 1.81899E-012, -90
24, 0.00000, 2246.73, -3.85688, 2397.18, -121.833, 2246.43, 117.34, 2.03369E-012, -116.565, 9.09495E-013, 0, 0, 0
