hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2272.87, -3.37506, 2404.01, -121.612, 2277.53, 117.577, 0.000553345, 87.3557, 0.000576655, -31.8095, 0.000558174, -152.931
2, 0.00000, 2286.16, -3.12164, 2407.05, -121.517, 2294.86, 117.725, 0.000556531, 87.5277, 0.00057807, -31.6826, 0.000561758, -152.736
3, 0.00000, 2300.63, -2.8393, 2409.21, -121.421, 2312.64, 117.861, 0.000559925, 87.7179, 0.000579409, -31.5567, 0.000565396, -152.543
4, 0.00000, 2300.63, -2.83925, 2409.21, -121.421, 2312.64, 117.861, 0.000559926, 87.7179, 0.000579409, -31.5567, 0.000565397, -152.542
5, 0.00000, 2286.16, -3.12151, 2407.05, -121.517, 2294.89, 117.726, 0.000556532, 87.5278, 0.000578071, -31.6826, 0.000561764, -152.736
6, 0.00000, 2246.73, -3.85702, 2397.2, -121.832, 2246.43, 117.34, 0.000547253, 87.0199, 0.00057372, -32.0683, 0.00055162, -153.268
7, 0.00000, 2196.37, -4.76426, 2382.36, -122.298, 2186.66, 116.894, 0.000535552, 86.3874, 0.000567761, -32.5986, 0.000538864, -153.911
8, 0.00000, 2148.29, -5.60295, 2367.15, -122.751, 2131.15, 116.47, 0.000524394, 85.8037, 0.000561963, -33.1033, 0.0005269, -154.524
9, 0.00000, 2125, -6.00619, 2359.59, -122.968, 2104.82, 116.267, 0.000518992, 85.5238, 0.00055914, -33.3431, 0.000521204, -154.82
10, 0.00000, 2102.16, -6.3974, 2351.84, -123.186, 2079.21, 116.069, 0.000513699, 85.2522, 0.000556316, -33.5808, 0.000515633, -155.11
11, 0.00000, 2079.78, -6.77632, 2343.84, -123.403, 2054.29, 115.875, 0.000508513, 84.9888, 0.000553485, -33.8168, 0.000510184, -155.394
12, 0.00000, 2068.76, -6.96225, 2339.83, -123.512, 2042.06, 115.781, 0.000505961, 84.8597, 0.00055208, -33.9335, 0.000507504, -155.534
13, 0.00000, 2057.85, -7.14757, 2335.97, -123.618, 2029.95, 115.688, 0.000503435, 84.7321, 0.000550706, -34.0485, 0.000504852, -155.672
14, 0.00000, 2068.73, -6.96146, 2339.83, -123.512, 2042.08, 115.782, 0.000505958, 84.8603, 0.000552079, -33.9336, 0.000507506, -155.533
15, 0.00000, 2079.76, -6.77567, 2343.84, -123.404, 2054.31, 115.876, 0.000508511, 84.9893, 0.000553485, -33.8168, 0.000510186, -155.393
16, 0.00000, 2090.89, -6.58782, 2347.87, -123.295, 2066.68, 115.972, 0.000511091, 85.1199, 0.000554901, -33.6991, 0.000512895, -155.252
17, 0.00000, 2102.14, -6.39694, 2351.84, -123.186, 2079.22, 116.069, 0.000513697, 85.2526, 0.000556316, -33.5809, 0.000515634, -155.11
18, 0.00000, 2113.51, -6.20298, 2355.75, -123.077, 2091.93, 116.168, 0.00051633, 85.3873, 0.000557729, -33.4622, 0.000518403, -154.966
19, 0.00000, 2124.99, -6.00589, 2359.59, -122.968, 2104.83, 116.267, 0.000518991, 85.5241, 0.00055914, -33.3432, 0.000521204, -154.82
20, 0.00000, 2148.28, -5.60256, 2367.15, -122.751, 2131.16, 116.47, 0.000524393, 85.804, 0.000561963, -33.1033, 0.000526901, -154.524
21, 0.00000, 2172.05, -5.18982, 2374.73, -122.532, 2158.15, 116.68, 0.00052991, 86.0915, 0.000564827, -32.8598, 0.000532725, -154.221
22, 0.00000, 2196.37, -4.76409, 2382.35, -122.298, 2186.66, 116.894, 0.000535551, 86.3875, 0.00056776, -32.5987, 0.000538863, -153.91
23, 0.00000, 2221.19, -4.32387, 2389.72, -122.062, 2216.22, 117.114, 0.000541312, 86.6929, 0.000570694, -32.3319, 0.000545194, -153.593
24, 0.00000, 2246.73, -3.85688, 2397.18, -121.833, 2246.43, 117.34, 0.000547252, 87.0199, 0.000573715, -32.0686, 0.000551618, -153.268
