
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.35     0.9993    0.01046    0.01576 4.319E-009 6.51E-009
650           2.377     0.9898   0.003156     0.1327  0.002179   0.09164
rg60          2.373     0.9879   0.003765     0.1587  0.002616    0.1102
633            2.32     0.9659    0.02049     0.8833   0.02927     1.262
634          0.2636      0.951   0.002481     0.9413  0.003745     1.421
671           2.297     0.9562    0.04148      1.806    0.0666       2.9
645           2.356     0.9811          0          0         0         0
646           2.354     0.9799          0          0         0         0
692           2.297     0.9562    0.04148      1.806   0.06667     2.903
675           2.294     0.9551    0.04363      1.902   0.07152     3.118
611           2.241      0.933          0          0         0         0
652           2.233     0.9299          0          0         0         0
632           2.324     0.9677    0.02049     0.8814   0.02828     1.217
680           2.297     0.9562    0.04148      1.806    0.0666       2.9
684           2.243      0.934          0          0         0         0
