Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66326.8,   29.9,   0.99897, 2,    66338.8,  -90.1,   0.99915, 3,    66319.3,  149.9,   0.99886
"650", 4.16, 1,    2371.23,    0.3,   0.98728, 2,    2379.55, -119.8,   0.99075, 3,    2372.07,  120.3,   0.98763
"RG60", 4.16, 1,    2542.82,    0.4,    1.0587, 2,    2508.99, -119.8,    1.0446, 3,    2543.82,  120.3,    1.0591
"633", 4.16, 1,    2454.94,   -1.5,    1.0221, 2,    2491.18, -121.0,    1.0372, 3,    2444.45,  119.1,    1.0178
"634", 0.48, 1,    278.335,   -2.0,    1.0044, 2,    283.637, -121.4,    1.0235, 3,     278.17,  118.7,    1.0038
"632", 4.16, 1,    2460.31,   -1.5,    1.0244, 2,    2494.61, -121.0,    1.0387, 3,     2449.1,  119.1,    1.0197
"671", 4.16, 1,    2397.09,   -3.5,   0.99805, 2,    2510.47, -121.4,    1.0453, 3,    2368.58,  118.0,   0.98618
"680", 4.16, 1,    2397.09,   -3.5,   0.99805, 2,    2510.47, -121.4,    1.0453, 3,    2368.58,  118.0,   0.98618
"645", 4.16, 2,    2478.33, -121.1,    1.0319, 3,    2445.81,  119.1,    1.0183, 0, 0, 0, 0
"646", 4.16, 2,    2475.35, -121.2,    1.0306, 3,    2442.26,  119.1,    1.0169, 0, 0, 0, 0
"684", 4.16, 1,    2393.56,   -3.6,   0.99658, 3,    2363.48,  117.9,   0.98405, 0, 0, 0, 0
"611", 4.16, 3,    2358.39,  117.8,   0.98193, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 1,    2383.27,   -3.5,   0.99229, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2397.06,   -3.5,   0.99804, 2,    2510.54, -121.4,    1.0453, 3,    2368.55,  118.0,   0.98617
"675", 4.16, 1,    2384.42,   -3.7,   0.99277, 2,    2513.42, -121.5,    1.0465, 3,    2363.71,  118.0,   0.98415
