hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2376.76, -2.94823, 2473.1, -121.187, 2355.73, 118.249, 292.537, 151.241, 119.614, 38.179, 264.368, -83.3582
2, 0.00000, 2390.86, -2.69045, 2475.47, -121.098, 2372.77, 118.378, 265.46, 151.963, 108.364, 39.571, 239.462, -82.3639
3, 0.00000, 2404.75, -2.43715, 2477.87, -121.009, 2389.56, 118.505, 238.776, 152.787, 97.2785, 41.2349, 214.988, -81.1912
4, 0.00000, 2418.46, -2.18724, 2480.26, -120.921, 2406.15, 118.631, 212.41, 153.752, 86.3655, 43.2715, 190.875, -79.7732
5, 0.00000, 2416.51, -1.96824, 2482.91, -120.834, 2406.85, 118.747, 187.552, 154.798, 75.9446, 45.7569, 168.225, -78.1822
6, 0.00000, 2402.94, -2.21818, 2480.53, -120.921, 2390.4, 118.62, 213.721, 153.645, 86.6895, 43.2068, 192.068, -79.9237
7, 0.00000, 2376.76, -2.94814, 2473.1, -121.187, 2355.74, 118.249, 292.53, 151.241, 119.613, 38.1792, 264.359, -83.3579
8, 0.00000, 2365.08, -3.64185, 2480.57, -121.441, 2335.85, 117.901, 370.869, 149.656, 152.477, 35.2622, 336.637, -85.4255
9, 0.00000, 2352.37, -4.3349, 2503.38, -121.674, 2314.88, 117.567, 449.97, 148.417, 185.111, 33.3313, 409.905, -86.8972
10, 0.00000, 2354.32, -4.75628, 2512.91, -121.82, 2295.02, 117.322, 501.835, 147.746, 207.041, 32.2986, 459.879, -87.7047
11, 0.00000, 2338.57, -5.21834, 2507.84, -122.016, 2290.87, 117.14, 556.698, 147.083, 229.846, 31.3465, 508.646, -88.3617
12, 0.00000, 2338.07, -5.4222, 2520.22, -122.097, 2275.35, 117.043, 583.204, 146.798, 240.839, 30.9755, 531.222, -88.6345
13, 0.00000, 2321.06, -5.68895, 2518.18, -122.209, 2273.3, 116.974, 612.75, 146.459, 252.533, 30.5677, 555.638, -88.912
14, 0.00000, 2303.04, -5.96247, 2531.15, -122.315, 2257.9, 116.906, 642.929, 146.12, 264.424, 30.2066, 578.486, -89.1568
15, 0.00000, 2321.35, -5.68934, 2533.25, -122.186, 2273.54, 116.979, 612.162, 146.463, 252.186, 30.6118, 555.173, -88.9
16, 0.00000, 2339.23, -5.41965, 2535.35, -122.062, 2289.33, 117.057, 581.83, 146.814, 240.085, 31.0409, 531.745, -88.6258
17, 0.00000, 2355.52, -5.14584, 2537.6, -121.967, 2307.86, 117.176, 552.135, 147.183, 228.075, 31.5006, 504.848, -88.254
18, 0.00000, 2321.43, -5.68815, 2533.22, -122.186, 2273.55, 116.979, 612.06, 146.463, 252.176, 30.6133, 555.161, -88.9006
19, 0.00000, 2274.54, -6.36945, 2537.75, -122.516, 2227.45, 116.676, 692.436, 145.502, 288.559, 29.519, 624.295, -89.6433
20, 0.00000, 2236.07, -6.96649, 2538.59, -122.828, 2184.76, 116.411, 760.022, 144.993, 325.374, 28.6108, 685.414, -90.5032
21, 0.00000, 2261.48, -6.57247, 2548.3, -122.602, 2213.11, 116.586, 715.142, 145.305, 300.5, 29.2274, 644.919, -89.9182
22, 0.00000, 2321.67, -5.6894, 2548.32, -122.163, 2273.79, 116.984, 611.547, 146.466, 251.827, 30.6563, 554.704, -88.8876
23, 0.00000, 2369.68, -4.47712, 2530.53, -121.723, 2330.13, 117.501, 471.873, 148.18, 194.482, 32.949, 430.155, -87.1688
24, 0.00000, 2397.09, -3.54396, 2510.47, -121.406, 2368.58, 117.953, 365.526, 149.843, 150.24, 35.5701, 331.603, -85.1955
