
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.34     0.9991    0.01103    0.01662 4.319E-009 6.511E-009
650           2.384     0.9925   0.003328     0.1396  0.003135    0.1315
rg60          2.514      1.047    0.01139     0.4529   0.01199    0.4767
633           2.456      1.022   0.002901     0.1181   0.02091    0.8514
634          0.2791      1.007  0.0005526      0.198  0.002682     0.961
632            2.46      1.024   0.002901     0.1179   0.02017      0.82
671           2.426       1.01    0.02096     0.8639   0.06602     2.721
680           2.426       1.01    0.02096     0.8639   0.06602     2.721
645           2.438      1.015          0          0         0         0
646           2.434      1.014          0          0         0         0
684           2.408      1.002          0          0         0         0
611            2.36     0.9824          0          0         0         0
652           2.397     0.9982          0          0         0         0
692           2.426       1.01    0.02096     0.8639   0.06609     2.724
675           2.427      1.011    0.02286     0.9419   0.07036     2.899
