Year, LDCurve, Hour, PVSystem, "kWh", "kvarh", "Max kW", "Max kVA", "Hours", "Price($)"
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       6080,          0,        800,        800,         24,        152
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,          7,      -8400,          1,        350,         24,          0
0, , 24, "PV675"       ,          7,      -8400,          1,        350,         24,          0
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
0, , 24, "PV675"       ,       2625,          0,        333,        333,         24,         66
