hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2457.41, -1.22326, 2489.42, -120.838, 2449.51, 119.186, 288.36, -28.5625, 117.85, -141.451, 260.458, 96.9063
2, 0.00000, 2451.13, -1.13966, 2477.6, -120.785, 2444.31, 119.228, 263.561, -27.9352, 107.561, -140.229, 237.689, 97.7774
3, 0.00000, 2460.15, -1.04274, 2480.74, -120.719, 2439.17, 119.27, 237.332, -27.1231, 96.7365, -138.577, 214.449, 98.8466
4, 0.00000, 2453.64, -0.952961, 2468.94, -120.667, 2449.15, 119.326, 212.362, -26.2467, 86.3588, -136.726, 190.835, 100.228
5, 0.00000, 2447.16, -0.866451, 2472.23, -120.604, 2443.77, 119.375, 187.552, -25.2017, 75.9444, -134.242, 168.225, 101.818
6, 0.00000, 2439.75, -0.938574, 2469.88, -120.631, 2434.9, 119.353, 208.038, -26.9531, 80.6389, -137.911, 186.232, 99.5741
7, 0.00000, 2432.3, -1.14141, 2462.63, -120.711, 2423.05, 119.292, 270.092, -30.6564, 96.3081, -146.702, 241.611, 94.8898
8, 0.00000, 2441.43, -1.29696, 2471.01, -120.735, 2411.54, 119.255, 326.397, -33.525, 107.631, -154.721, 293.747, 91.4722
9, 0.00000, 2434.4, -1.4698, 2479.87, -120.762, 2414.58, 119.242, 385.863, -35.6227, 120.61, -161.268, 346.624, 89.0827
10, 0.00000, 2436.8, -1.53482, 2476.34, -120.733, 2412.6, 119.261, 418.512, -37.2334, 124.673, -167.496, 376.596, 87.331
11, 0.00000, 2435.85, -1.66197, 2486.7, -120.762, 2408.08, 119.228, 462.425, -37.9067, 137.432, -169.417, 417.182, 86.5845
12, 0.00000, 2443.13, -1.70073, 2483.94, -120.788, 2413.79, 119.218, 482.613, -38.2076, 144.022, -170.187, 436.078, 86.2525
13, 0.00000, 2446.7, -1.79922, 2494.79, -120.876, 2402.87, 119.148, 514.374, -37.8775, 158.931, -167.597, 464.251, 86.6201
14, 0.00000, 2433.75, -1.92826, 2491.13, -120.993, 2406.16, 119.106, 550.337, -37.6129, 175.13, -165.338, 493.761, 86.8864
15, 0.00000, 2441.55, -1.88131, 2492.61, -120.995, 2414.05, 119.084, 530.813, -37.0047, 172.608, -163.129, 479.83, 87.4888
16, 0.00000, 2445.46, -1.88867, 2492.51, -121.082, 2420.18, 119.016, 523.263, -35.7956, 180.687, -158.389, 475.364, 88.7195
17, 0.00000, 2449.09, -1.89572, 2492.4, -121.172, 2426.81, 118.952, 516.271, -34.5391, 189.987, -154.123, 469.942, 90.0053
18, 0.00000, 2436.34, -2.16361, 2497.41, -121.449, 2416.07, 118.788, 595.232, -34.1158, 235.279, -151.335, 540.234, 90.4743
19, 0.00000, 2402.06, -2.44434, 2514.19, -121.721, 2385.08, 118.648, 687.671, -34.6571, 282.766, -151.018, 619.28, 90.1882
20, 0.00000, 2375.04, -2.65263, 2514.29, -121.958, 2357.31, 118.543, 760.021, -35.0073, 325.373, -151.389, 685.413, 89.4968
21, 0.00000, 2391.92, -2.53093, 2523.65, -121.812, 2375.04, 118.595, 715.141, -34.6951, 300.499, -150.772, 644.918, 90.0819
22, 0.00000, 2431.23, -2.24516, 2524.86, -121.532, 2413.17, 118.721, 611.547, -33.5336, 251.827, -149.344, 554.704, 91.1125
23, 0.00000, 2452.5, -1.82257, 2511.46, -121.236, 2436.81, 118.889, 471.873, -31.8201, 194.481, -147.051, 430.154, 92.8313
24, 0.00000, 2460.31, -1.47857, 2494.61, -121.014, 2449.1, 119.054, 365.525, -30.1567, 150.239, -144.429, 331.603, 94.8047
