hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 340.635, 21.0861, 54.7826, -41.847, 262.314, 17.2321
2, 0.00000, 310.146, 20.1424, 53.9143, -46.0556, 238.918, 15.9496
3, 0.00000, 279.714, 18.8439, 54.014, -50.9628, 215.423, 14.3539
4, 0.00000, 249.291, 17.3742, 53.7959, -55.2996, 192.392, 12.2053
5, 0.00000, 219.379, 15.527, 54.6465, -60.1129, 169.613, 9.72143
6, 0.00000, 235.743, 18.5856, 46.8466, -71.1438, 178.527, 13.4192
7, 0.00000, 288.643, 25.3445, 40.9414, -120.768, 209.911, 22.1133
8, 0.00000, 332.067, 31.0375, 78.5045, -159.915, 234.202, 29.7705
9, 0.00000, 380.252, 35.2196, 129.245, -171.64, 262.68, 35.7296
10, 0.00000, 398.314, 39.0625, 184.414, -176.019, 270.183, 41.2384
11, 0.00000, 440.531, 39.9983, 211.705, -177.954, 300.469, 42.5178
12, 0.00000, 460.101, 40.4965, 223.753, -178.842, 314.22, 43.1949
13, 0.00000, 502.809, 38.8193, 206.354, -179.552, 344.564, 40.6202
14, 0.00000, 548.345, 37.2337, 186.528, 179.579, 377.639, 38.6859
15, 0.00000, 536.976, 35.9846, 157.936, -179.41, 377.524, 36.8502
16, 0.00000, 550.34, 32.989, 97.334, -177.293, 397.274, 32.7775
17, 0.00000, 565.688, 30.1114, 37.5104, -168.431, 417.531, 29.0162
18, 0.00000, 678.91, 27.8819, 33.8986, -2.3891, 510.091, 26.2879
19, 0.00000, 781.227, 27.5696, 77.5343, 5.80543, 584.886, 25.5096
20, 0.00000, 850.869, 27.5652, 105.042, 9.3586, 638.707, 25.4827
21, 0.00000, 811.812, 27.3249, 98.1095, 6.45748, 610.746, 25.1617
22, 0.00000, 715.312, 26.4104, 83.5915, -0.904435, 543.856, 24.478
23, 0.00000, 557.843, 25.0227, 67.3194, -14.2009, 429.121, 22.6379
24, 0.00000, 433.094, 23.2249, 58.1587, -28.7566, 333.354, 20.1517
