hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 14.4412, 179.998, 15.4925, -180, 14.342, 179.999, 0, 0
7, 0.00000, 56.732, -179.999, 61.8117, 180, 55.9222, -180, 0, 0
8, 0.00000, 113.156, -179.999, 124.911, -180, 109.055, 180, 0, 0
9, 0.00000, 166.85, -179.998, 189.44, 179.999, 161.465, -179.998, 0, 0
10, 0.00000, 221.602, -179.998, 252.594, 180, 212.791, -179.999, 0, 0
11, 0.00000, 247.107, -179.996, 287.218, -179.999, 235.742, 179.999, 0, 0
12, 0.00000, 261.498, -179.996, 302.783, -179.999, 248.775, 179.999, 0, 0
13, 0.00000, 246.998, -179.999, 289.416, -180, 232.007, 179.999, 0, 0
14, 0.00000, 228.993, -179.998, 272.743, -179.999, 218.331, 180, 0, 0
15, 0.00000, 204.245, -179.997, 240.545, -179.999, 194.879, 179.999, 0, 0
16, 0.00000, 150.522, -179.999, 175.974, -180, 144.22, 180, 0, 0
17, 0.00000, 96.2152, -179.999, 111.714, 180, 92.6916, -179.999, 0, 0
18, 0.00000, 40.1572, -179.999, 48.0767, -180, 38.7968, 179.999, 0, 0
19, 0.00000, 12.7416, 180, 16.248, -180, 12.3682, -180, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
