hour, t(sec), Tap (pu)
1, 0.00000, 1.0625
2, 0.00000, 1.05625
3, 0.00000, 1.05625
4, 0.00000, 1.05
5, 0.00000, 1.04375
6, 0.00000, 1.04375
7, 0.00000, 1.05
8, 0.00000, 1.0625
9, 0.00000, 1.06875
10, 0.00000, 1.075
11, 0.00000, 1.08125
12, 0.00000, 1.0875
13, 0.00000, 1.09375
14, 0.00000, 1.09375
15, 0.00000, 1.09375
16, 0.00000, 1.09375
17, 0.00000, 1.09375
18, 0.00000, 1.1
19, 0.00000, 1.1
20, 0.00000, 1.1
21, 0.00000, 1.1
22, 0.00000, 1.1
23, 0.00000, 1.0875
24, 0.00000, 1.075
