hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 711.373, 33.3938, 735.679, 21.4663, 849.806, 28.7435, 0, 0
2, 0.00000, 646.848, 32.7897, 668.382, 20.8656, 772.372, 28.1087, 0, 0
3, 0.00000, 582.88, 31.9959, 601.201, 20.1425, 694.766, 27.2818, 0, 0
4, 0.00000, 518.68, 31.1589, 534.968, 19.1589, 619.339, 26.3679, 0, 0
5, 0.00000, 455.598, 30.0735, 469.823, 18.0462, 544.158, 25.2624, 0, 0
6, 0.00000, 505.645, 31.9864, 520.795, 19.7207, 605.257, 27.002, 0, 0
7, 0.00000, 660.329, 36.0948, 678.138, 23.1444, 795.596, 30.638, 0, 0
8, 0.00000, 807.374, 39.3768, 825.951, 25.6451, 979.666, 33.3642, 0, 0
9, 0.00000, 959.085, 41.8147, 979.087, 27.3289, 1172.55, 35.3305, 0, 0
10, 0.00000, 1046.93, 43.7737, 1065.01, 28.6049, 1287.55, 36.8051, 0, 0
11, 0.00000, 1161.15, 44.5522, 1180.55, 29.1, 1432.1, 37.416, 0, 0
12, 0.00000, 1217.53, 44.8919, 1238.55, 29.2908, 1504.52, 37.6988, 0, 0
13, 0.00000, 1301.19, 44.393, 1321.37, 29.0917, 1601.02, 37.2871, 0, 0
14, 0.00000, 1386.61, 44.0093, 1410.91, 28.7986, 1706.04, 37.022, 0, 0
15, 0.00000, 1338.07, 43.2352, 1369.38, 28.2546, 1646.92, 36.5825, 0, 0
16, 0.00000, 1316.91, 41.6641, 1356.61, 27.2393, 1616.14, 35.5471, 0, 0
17, 0.00000, 1297.56, 40.0488, 1342.52, 26.232, 1584.91, 34.4158, 0, 0
18, 0.00000, 1495.92, 39.2262, 1550.53, 25.8352, 1819.71, 33.882, 0, 0
19, 0.00000, 1733.42, 39.24, 1794.11, 26.3913, 2093.46, 34.1218, 0, 0
20, 0.00000, 1940, 39.0741, 2014.99, 27.2848, 2317.68, 34.6512, 0, 0
21, 0.00000, 1811.78, 38.9971, 1878.97, 26.6229, 2178.06, 34.2066, 0, 0
22, 0.00000, 1538.24, 38.2553, 1596.95, 25.443, 1860.08, 33.2775, 0, 0
23, 0.00000, 1181.75, 36.5867, 1228.73, 24.1967, 1423.26, 31.8975, 0, 0
24, 0.00000, 909.07, 34.9912, 942.204, 22.877, 1089.57, 30.3266, 0, 0
