hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2457.41, -1.22326, 2489.42, -120.838, 2449.51, 119.186, 336.153, 150.351, 237.395, 35.8313, 327.563, -88.7867
2, 0.00000, 2451.13, -1.13966, 2477.6, -120.785, 2444.31, 119.228, 307.384, 150.902, 217.445, 36.4569, 299.003, -88.114
3, 0.00000, 2460.15, -1.04274, 2480.74, -120.719, 2439.17, 119.27, 276.91, 151.613, 196.333, 37.29, 269.809, -87.2983
4, 0.00000, 2453.64, -0.952961, 2468.94, -120.667, 2449.15, 119.326, 247.963, 152.373, 176.022, 38.2091, 240.085, -86.2281
5, 0.00000, 2447.16, -0.866451, 2472.23, -120.604, 2443.77, 119.375, 219.165, 153.275, 155.228, 39.4301, 211.501, -85.0095
6, 0.00000, 2439.75, -0.938574, 2469.88, -120.631, 2434.9, 119.353, 243.912, 151.741, 170.538, 37.4947, 235.959, -86.8895
7, 0.00000, 2432.3, -1.14141, 2462.63, -120.711, 2423.05, 119.292, 318.579, 148.514, 217.437, 33.287, 310.493, -90.7245
8, 0.00000, 2441.43, -1.29696, 2471.01, -120.735, 2411.54, 119.255, 387.191, 146.029, 258.402, 29.9137, 381.917, -93.5147
9, 0.00000, 2434.4, -1.4698, 2479.87, -120.762, 2414.58, 119.242, 459.41, 144.212, 299.704, 27.395, 453.694, -95.4159
10, 0.00000, 2436.8, -1.53482, 2476.34, -120.733, 2412.6, 119.261, 500.389, 142.839, 321.724, 25.2921, 496.789, -96.8259
11, 0.00000, 2435.85, -1.66197, 2486.7, -120.762, 2408.08, 119.228, 552.783, 142.242, 352.705, 24.5079, 549.979, -97.3943
12, 0.00000, 2443.13, -1.70073, 2483.94, -120.788, 2413.79, 119.218, 576.909, 141.978, 368.867, 24.1885, 574.999, -97.6452
13, 0.00000, 2446.7, -1.79922, 2494.79, -120.876, 2402.87, 119.148, 612.757, 142.23, 394.459, 24.8186, 609.354, -97.3475
14, 0.00000, 2433.75, -1.92826, 2491.13, -120.993, 2406.16, 119.106, 653.564, 142.423, 422.097, 25.3979, 644.765, -97.096
15, 0.00000, 2441.55, -1.88131, 2492.61, -120.995, 2414.05, 119.084, 629.432, 142.95, 410.351, 26.196, 623.908, -96.5843
16, 0.00000, 2445.46, -1.88867, 2492.51, -121.082, 2420.18, 119.016, 617.445, 143.982, 410.114, 27.8809, 612.264, -95.5321
17, 0.00000, 2449.09, -1.89572, 2492.4, -121.172, 2426.81, 118.952, 606.026, 145.063, 410.327, 29.5483, 599.662, -94.4214
18, 0.00000, 2436.34, -2.16361, 2497.41, -121.449, 2416.07, 118.788, 693.915, 145.391, 476.255, 30.5637, 681.811, -93.9398
19, 0.00000, 2402.06, -2.44434, 2514.19, -121.721, 2385.08, 118.648, 800.903, 144.869, 553.528, 30.5154, 780.214, -94.2023
20, 0.00000, 2375.04, -2.65263, 2514.29, -121.958, 2357.31, 118.543, 887.091, 144.512, 627.372, 30.1713, 866.385, -94.8495
21, 0.00000, 2391.92, -2.53093, 2523.65, -121.812, 2375.04, 118.595, 833.278, 144.815, 580.82, 30.5726, 812.312, -94.3064
22, 0.00000, 2431.23, -2.24516, 2524.86, -121.532, 2413.17, 118.721, 710.375, 145.891, 490.806, 31.4728, 695.337, -93.3603
23, 0.00000, 2452.5, -1.82257, 2511.46, -121.236, 2436.81, 118.889, 548.742, 147.448, 383.712, 32.8165, 539.54, -91.9662
24, 0.00000, 2460.31, -1.47857, 2494.61, -121.014, 2449.1, 119.054, 425.569, 148.941, 299.921, 34.2624, 416.674, -90.4174
