hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2426.65, -1.25777, 2459.4, -120.859, 2418.48, 119.165, 340.973, 150.177, 240.684, 35.6388, 332.448, -88.9922
2, 0.00000, 2435.78, -1.15543, 2462.59, -120.795, 2428.84, 119.219, 309.575, 150.812, 218.951, 36.3545, 301.223, -88.2232
3, 0.00000, 2444.77, -1.05409, 2465.77, -120.731, 2439.05, 119.272, 278.619, 151.533, 197.401, 37.1962, 270.482, -87.3186
4, 0.00000, 2453.63, -0.953276, 2468.95, -120.667, 2449.13, 119.326, 248.017, 152.372, 176.028, 38.2088, 240.131, -86.2283
5, 0.00000, 2447.16, -0.866451, 2472.23, -120.604, 2443.77, 119.375, 219.165, 153.275, 155.228, 39.4301, 211.501, -85.0095
6, 0.00000, 2438.4, -0.968335, 2469.07, -120.667, 2433.78, 119.321, 249.559, 152.278, 176.457, 38.1803, 241.581, -86.3464
7, 0.00000, 2426.66, -1.25773, 2459.4, -120.859, 2418.48, 119.165, 340.965, 150.178, 240.682, 35.6388, 332.439, -88.9921
8, 0.00000, 2429.33, -1.5214, 2464.61, -121.041, 2417.8, 119.029, 431.731, 148.773, 304.048, 34.0939, 422.929, -90.5982
9, 0.00000, 2431.17, -1.77741, 2484.92, -121.204, 2416.3, 118.907, 523.357, 147.661, 366.157, 33.0291, 514.292, -91.7528
10, 0.00000, 2442.4, -1.92354, 2493.02, -121.308, 2409.74, 118.818, 583.256, 147.057, 407.985, 32.4415, 576.609, -92.3973
11, 0.00000, 2437.13, -2.08078, 2486.34, -121.444, 2418.36, 118.763, 646.768, 146.456, 451.494, 31.8855, 637.468, -92.9118
12, 0.00000, 2441.88, -2.14757, 2497.89, -121.495, 2408.68, 118.729, 677.335, 146.198, 471.937, 31.6627, 666.367, -93.1607
13, 0.00000, 2430.85, -2.23871, 2494.79, -121.57, 2412.94, 118.715, 711.61, 145.886, 493.987, 31.4159, 696.854, -93.3776
14, 0.00000, 2419.29, -2.33359, 2506.62, -121.633, 2403.29, 118.698, 746.604, 145.575, 515.277, 31.1917, 726.092, -93.6008
15, 0.00000, 2431.03, -2.242, 2509.82, -121.551, 2413.06, 118.718, 711.01, 145.889, 492.408, 31.4442, 696.095, -93.3692
16, 0.00000, 2442.51, -2.14996, 2513.01, -121.471, 2422.89, 118.741, 675.924, 146.21, 469.765, 31.7072, 666.05, -93.1245
17, 0.00000, 2453.15, -2.05339, 2516.25, -121.406, 2434.28, 118.78, 641.578, 146.546, 447.232, 31.9813, 632.513, -92.8233
18, 0.00000, 2431.08, -2.24149, 2509.81, -121.551, 2413.06, 118.718, 710.889, 145.889, 492.407, 31.4449, 696.082, -93.3697
19, 0.00000, 2400.61, -2.46291, 2513.08, -121.76, 2384.09, 118.621, 805.722, 145.005, 559.511, 30.7586, 785.123, -94.0486
20, 0.00000, 2375.04, -2.65263, 2514.29, -121.958, 2357.31, 118.543, 887.091, 144.512, 627.372, 30.1713, 866.385, -94.8495
21, 0.00000, 2391.92, -2.53093, 2523.65, -121.812, 2375.04, 118.595, 833.278, 144.815, 580.82, 30.5726, 812.312, -94.3064
22, 0.00000, 2431.23, -2.24516, 2524.86, -121.532, 2413.17, 118.721, 710.375, 145.891, 490.806, 31.4728, 695.337, -93.3603
23, 0.00000, 2452.5, -1.82257, 2511.46, -121.236, 2436.81, 118.889, 548.742, 147.448, 383.712, 32.8165, 539.54, -91.9662
24, 0.00000, 2460.31, -1.47857, 2494.61, -121.014, 2449.1, 119.054, 425.569, 148.941, 299.921, 34.2624, 416.674, -90.4174
