hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 279.124, -1.66055, 283.883, -121.139, 279.113, 118.899, 0, 0, 417.361, 143.831, 317.035, 21.9907, 322.437, -97.9709, 98.8695, -27.5363
2, 0.00000, 278.763, -1.542, 282.787, -121.064, 278.804, 118.964, 0, 0, 383.083, 143.949, 291.74, 22.0664, 295.902, -97.9056, 90.3794, -27.6594
3, 0.00000, 280.193, -1.40535, 283.436, -120.971, 278.501, 119.03, 0, 0, 346.491, 144.086, 264.607, 22.1589, 269.273, -97.8403, 80.8881, -26.6551
4, 0.00000, 279.805, -1.28046, 282.345, -120.896, 279.961, 119.111, 0, 0, 312.237, 144.211, 239.07, 22.234, 241.099, -97.7587, 73.0206, -27.8981
5, 0.00000, 279.42, -1.15886, 283.012, -120.807, 279.63, 119.184, 0, 0, 277.937, 144.333, 212.01, 22.3233, 214.553, -97.6862, 65.6158, -27.17
6, 0.00000, 278.182, -1.27005, 282.455, -120.86, 278.301, 119.136, 0, 0, 314.075, 144.222, 238.978, 22.2704, 242.526, -97.7335, 74.4406, -27.0668
7, 0.00000, 276.179, -1.58791, 280.753, -121.019, 276.02, 118.999, 0, 0, 421.83, 143.904, 320.564, 22.1108, 326.07, -97.8712, 99.8376, -27.5526
8, 0.00000, 276.112, -1.85324, 280.872, -121.119, 273.764, 118.883, 0, 0, 527.427, 143.638, 400.531, 22.0115, 410.942, -97.9869, 123.813, -26.8196
9, 0.00000, 274.129, -2.1442, 281.049, -121.22, 273.204, 118.797, 0, 0, 637.497, 143.347, 480.343, 21.91, 494.195, -98.0734, 152.48, -27.5414
10, 0.00000, 273.638, -2.2846, 280.054, -121.245, 272.356, 118.763, 0, 0, 709.617, 143.207, 535.596, 21.8848, 550.795, -98.1065, 168.758, -28.0502
11, 0.00000, 272.746, -2.49008, 280.697, -121.322, 271.203, 118.678, 0, 0, 783.188, 143.001, 587.806, 21.8081, 608.435, -98.1918, 188.028, -27.7201
12, 0.00000, 273.221, -2.56208, 280.078, -121.375, 271.569, 118.644, 0, 0, 817.364, 142.929, 615.867, 21.7554, 635.231, -98.2256, 194.354, -28.346
13, 0.00000, 273.259, -2.69691, 281.071, -121.483, 269.963, 118.543, 0, 0, 852.698, 142.795, 640.399, 21.6466, 666.762, -98.3269, 202.618, -27.0368
14, 0.00000, 271.315, -2.87504, 280.347, -121.629, 270.04, 118.478, 0, 0, 894.639, 142.616, 668.815, 21.5015, 694.434, -98.3922, 215.282, -28.0752
15, 0.00000, 272.64, -2.78284, 280.814, -121.604, 271.29, 118.486, 0, 0, 854.712, 142.709, 640.97, 21.5264, 663.512, -98.3841, 204.698, -28.1626
16, 0.00000, 273.499, -2.74839, 281.091, -121.665, 272.325, 118.446, 0, 0, 816.467, 142.743, 613.67, 21.4654, 633.452, -98.4243, 194.768, -28.2638
17, 0.00000, 274.322, -2.71427, 281.368, -121.729, 273.419, 118.411, 0, 0, 778.61, 142.777, 586.415, 21.4006, 603.506, -98.4593, 185.072, -28.4011
18, 0.00000, 272.019, -3.06925, 281.383, -122.056, 271.528, 118.191, 0, 0, 856.593, 142.422, 639.689, 21.0744, 662.92, -98.6794, 206.277, -28.0734
19, 0.00000, 266.716, -3.49984, 282.509, -122.396, 266.897, 117.956, 0, 0, 982.786, 141.992, 716.814, 20.7344, 758.726, -98.9138, 247.071, -26.2799
20, 0.00000, 262.317, -3.85108, 281.652, -122.71, 262.652, 117.756, 0, 0, 1102.89, 141.64, 798.894, 20.4205, 853.234, -99.1143, 278.773, -25.662
21, 0.00000, 265.091, -3.63761, 283.347, -122.506, 265.377, 117.871, 0, 0, 1025.45, 141.854, 741.178, 20.6237, 791.346, -98.999, 262.089, -25.5034
22, 0.00000, 271.41, -3.15562, 284.634, -122.124, 271.18, 118.123, 0, 0, 858.431, 142.336, 632.278, 21.0055, 663.751, -98.747, 212.684, -26.5734
23, 0.00000, 275.886, -2.5249, 284.477, -121.708, 275.516, 118.427, 0, 0, 668.581, 142.967, 500.923, 21.4219, 517.194, -98.4428, 161.329, -27.3179
24, 0.00000, 278.335, -2.02603, 283.637, -121.39, 278.17, 118.694, 0, 0, 523.163, 143.465, 396.639, 21.7397, 404.395, -98.1755, 123.891, -27.9506
