hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 275.517, -1.70643, 280.377, -121.168, 275.486, 118.871, 0, 0, 422.853, 143.785, 320.995, 21.9621, 326.711, -97.9989, 100.275, -27.5284
2, 0.00000, 276.966, -1.56295, 281.035, -121.077, 276.997, 118.951, 0, 0, 385.578, 143.929, 293.557, 22.0533, 297.843, -97.9184, 91.0077, -27.6575
3, 0.00000, 278.393, -1.42129, 281.692, -120.986, 278.486, 119.031, 0, 0, 348.759, 144.071, 266.243, 22.1439, 269.353, -97.8383, 81.9628, -27.7533
4, 0.00000, 279.803, -1.28086, 282.346, -120.896, 279.959, 119.111, 0, 0, 312.299, 144.211, 239.063, 22.234, 241.141, -97.7584, 73.0707, -27.8691
5, 0.00000, 279.42, -1.15886, 283.012, -120.807, 279.63, 119.184, 0, 0, 277.937, 144.333, 212.01, 22.3233, 214.553, -97.6862, 65.6158, -27.17
6, 0.00000, 278.025, -1.30018, 282.361, -120.896, 278.17, 119.103, 0, 0, 314.249, 144.191, 239.058, 22.2338, 242.638, -97.7665, 74.5146, -27.0653
7, 0.00000, 275.517, -1.70638, 280.376, -121.168, 275.486, 118.871, 0, 0, 422.844, 143.785, 320.995, 21.9621, 326.702, -97.9988, 100.27, -27.5321
8, 0.00000, 274.685, -2.0833, 280.123, -121.426, 274.498, 118.66, 0, 0, 530.182, 143.408, 401.603, 21.7037, 409.873, -98.2104, 125.729, -27.9295
9, 0.00000, 273.747, -2.45388, 281.643, -121.661, 273.405, 118.462, 0, 0, 638.438, 143.038, 479.32, 21.4693, 493.836, -98.4079, 153.568, -27.4503
10, 0.00000, 274.305, -2.67024, 282.02, -121.813, 272.017, 118.319, 0, 0, 707.904, 142.821, 531.858, 21.3172, 551.446, -98.5511, 168.566, -26.7308
11, 0.00000, 272.898, -2.90778, 280.653, -122.004, 272.419, 118.217, 0, 0, 782.685, 142.584, 587.916, 21.1264, 605.782, -98.6528, 186.724, -28.3178
12, 0.00000, 273.075, -3.01038, 281.728, -122.075, 270.961, 118.153, 0, 0, 817.807, 142.481, 612.275, 21.0549, 636.634, -98.7164, 195.082, -27.0607
13, 0.00000, 271.363, -3.14868, 281.073, -122.178, 271.156, 118.116, 0, 0, 858.697, 142.343, 640.405, 20.9521, 663.906, -98.7543, 207.145, -28.0595
14, 0.00000, 269.584, -3.29287, 282.185, -122.261, 269.696, 118.068, 0, 0, 900.337, 142.199, 664.591, 20.8693, 695.243, -98.8015, 221.434, -27.2929
15, 0.00000, 271.385, -3.15225, 282.853, -122.151, 271.168, 118.119, 0, 0, 858.596, 142.339, 636.361, 20.9789, 663.799, -98.7505, 209.926, -27.3209
16, 0.00000, 273.148, -3.01243, 283.516, -122.045, 272.645, 118.172, 0, 0, 817.504, 142.479, 608.422, 21.0856, 632.699, -98.6977, 198.64, -27.3843
17, 0.00000, 274.804, -2.86974, 284.184, -121.952, 274.299, 118.242, 0, 0, 777.301, 142.622, 580.59, 21.1779, 601.614, -98.6275, 187.82, -27.5318
18, 0.00000, 271.392, -3.15155, 282.851, -122.151, 271.169, 118.119, 0, 0, 858.445, 142.34, 636.399, 20.979, 663.784, -98.7509, 209.763, -27.3221
19, 0.00000, 266.542, -3.51976, 282.378, -122.436, 266.778, 117.929, 0, 0, 983.427, 141.972, 717.147, 20.6945, 759.062, -98.9413, 247.284, -26.2658
20, 0.00000, 262.317, -3.85108, 281.652, -122.71, 262.652, 117.756, 0, 0, 1102.89, 141.64, 798.894, 20.4205, 853.234, -99.1143, 278.773, -25.662
21, 0.00000, 265.091, -3.63761, 283.347, -122.506, 265.377, 117.871, 0, 0, 1025.45, 141.854, 741.178, 20.6237, 791.346, -98.999, 262.089, -25.5034
22, 0.00000, 271.41, -3.15562, 284.634, -122.124, 271.18, 118.123, 0, 0, 858.431, 142.336, 632.278, 21.0055, 663.751, -98.747, 212.684, -26.5734
23, 0.00000, 275.886, -2.5249, 284.477, -121.708, 275.516, 118.427, 0, 0, 668.581, 142.967, 500.923, 21.4219, 517.194, -98.4428, 161.329, -27.3179
24, 0.00000, 278.335, -2.02603, 283.637, -121.39, 278.17, 118.694, 0, 0, 523.163, 143.465, 396.639, 21.7397, 404.395, -98.1755, 123.891, -27.9506
