hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2397.32, -2.84782, 38.5936, 143.256
2, 0.00000, 2396.48, -2.63353, 35.3906, 143.47
3, 0.00000, 2411.41, -2.39116, 31.9755, 143.713
4, 0.00000, 2410.26, -2.16759, 28.7872, 143.936
5, 0.00000, 2409.19, -1.95043, 25.6014, 144.153
6, 0.00000, 2396.74, -2.1384, 28.9516, 143.966
7, 0.00000, 2374.34, -2.68343, 38.9692, 143.42
8, 0.00000, 2369.92, -3.13942, 48.8038, 142.964
9, 0.00000, 2348.49, -3.64152, 59.0992, 142.462
10, 0.00000, 2342.72, -3.87802, 65.8297, 142.226
11, 0.00000, 2331.81, -4.24805, 72.7586, 141.856
12, 0.00000, 2334.45, -4.38568, 75.9801, 141.718
13, 0.00000, 2331.15, -4.65166, 79.3855, 141.452
14, 0.00000, 2309.98, -4.99406, 83.4603, 141.11
15, 0.00000, 2323.13, -4.83518, 79.6692, 141.269
16, 0.00000, 2330.06, -4.79995, 76.1151, 141.304
17, 0.00000, 2336.47, -4.76469, 72.604, 141.339
18, 0.00000, 2306.84, -5.47349, 80.223, 140.63
19, 0.00000, 2251.09, -6.27858, 90.0238, 139.825
20, 0.00000, 2208.13, -6.91484, 97.908, 139.189
21, 0.00000, 2235.05, -6.52393, 92.6197, 139.58
22, 0.00000, 2298.73, -5.64792, 80.4948, 140.456
23, 0.00000, 2351.96, -4.44453, 62.2856, 141.659
24, 0.00000, 2383.27, -3.51718, 48.5246, 142.587
