hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2365.6, -2.92501, 39.1142, 143.179
2, 0.00000, 2380.7, -2.66868, 35.6262, 143.435
3, 0.00000, 2395.56, -2.41678, 32.19, 143.688
4, 0.00000, 2410.24, -2.16824, 28.7942, 143.937
5, 0.00000, 2409.19, -1.95043, 25.6014, 144.153
6, 0.00000, 2394.66, -2.19903, 28.9762, 143.905
7, 0.00000, 2365.61, -2.92492, 39.1131, 143.179
8, 0.00000, 2351.06, -3.61454, 49.1968, 142.489
9, 0.00000, 2335.46, -4.3033, 59.4353, 141.8
10, 0.00000, 2335.55, -4.72219, 66.0335, 141.382
11, 0.00000, 2317.75, -5.18073, 73.1939, 140.923
12, 0.00000, 2316.27, -5.38299, 76.5774, 140.721
13, 0.00000, 2298.12, -5.64744, 80.5347, 140.456
14, 0.00000, 2278.92, -5.91848, 84.4988, 140.185
15, 0.00000, 2298.41, -5.64785, 80.5174, 140.456
16, 0.00000, 2317.47, -5.38057, 76.5271, 140.723
17, 0.00000, 2334.87, -5.10879, 72.6601, 140.995
18, 0.00000, 2298.49, -5.64668, 80.4984, 140.457
19, 0.00000, 2248.88, -6.32246, 89.9256, 139.781
20, 0.00000, 2208.13, -6.91484, 97.908, 139.189
21, 0.00000, 2235.05, -6.52393, 92.6197, 139.58
22, 0.00000, 2298.73, -5.64792, 80.4948, 140.456
23, 0.00000, 2351.96, -4.44453, 62.2856, 141.659
24, 0.00000, 2383.27, -3.51718, 48.5246, 142.587
