hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2405.5, -2.89278, 2384.05, 118.252, 38.5756, 143.296, 43.5491, -72.0876
2, 0.00000, 2403.99, -2.67478, 2385.32, 118.36, 35.3726, 143.514, 39.7196, -70.4866
3, 0.00000, 2418.19, -2.42821, 2386.74, 118.466, 31.9573, 143.761, 35.9201, -68.5679
4, 0.00000, 2416.37, -2.20096, 2403.57, 118.597, 28.7691, 143.99, 31.9579, -65.9216
5, 0.00000, 2414.62, -1.98012, 2404.64, 118.714, 25.5832, 144.214, 28.3131, -62.9665
6, 0.00000, 2402.88, -2.17215, 2389.4, 118.652, 28.9336, 144.019, 32.1578, -66.1289
7, 0.00000, 2382.61, -2.72926, 2358.46, 118.469, 38.9514, 143.46, 44.0763, -72.2164
8, 0.00000, 2380.27, -3.1969, 2327.97, 118.328, 48.786, 142.996, 56.5842, -75.797
9, 0.00000, 2361.03, -3.71172, 2312.02, 118.226, 59.0815, 142.488, 69.1015, -78.0188
10, 0.00000, 2356.68, -3.95636, 2297.68, 118.212, 65.8121, 142.249, 77.7174, -79.1044
11, 0.00000, 2347.25, -4.33499, 2279.76, 118.087, 72.7411, 141.876, 85.9042, -80.0626
12, 0.00000, 2350.57, -4.47635, 2279.27, 118.035, 75.9625, 141.738, 89.9372, -80.4429
13, 0.00000, 2347.99, -4.7465, 2261.65, 117.864, 79.3679, 141.471, 93.184, -80.9097
14, 0.00000, 2327.69, -5.09464, 2257.77, 117.741, 83.4429, 141.127, 97.0179, -81.3083
15, 0.00000, 2340.04, -4.93068, 2271.27, 117.719, 79.6517, 141.287, 93.6255, -81.0572
16, 0.00000, 2346.21, -4.89094, 2282.5, 117.601, 76.0975, 141.324, 90.0796, -80.8789
17, 0.00000, 2351.87, -4.85128, 2294.7, 117.496, 72.5864, 141.36, 86.0026, -80.6139
18, 0.00000, 2323.86, -5.57033, 2268.6, 117.077, 80.2057, 140.649, 93.503, -81.6988
19, 0.00000, 2270.19, -6.38982, 2218.84, 116.677, 90.0068, 139.841, 103.029, -82.8503
20, 0.00000, 2228.91, -7.03808, 2173.91, 116.349, 97.8914, 139.204, 112.244, -83.7776
21, 0.00000, 2254.7, -6.63917, 2202.87, 116.527, 92.6029, 139.595, 106.106, -83.2146
22, 0.00000, 2315.81, -5.74542, 2264.84, 116.929, 80.4774, 140.474, 93.3309, -81.8462
23, 0.00000, 2365.17, -4.51838, 2323.27, 117.452, 62.2679, 141.684, 72.7371, -79.2102
24, 0.00000, 2393.56, -3.57401, 2363.48, 117.911, 48.5066, 142.618, 55.6336, -75.8426
