hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2373.9, -2.97119, 2351.8, 118.21, 39.0964, 143.218, 44.2163, -72.5651
2, 0.00000, 2388.26, -2.71048, 2369.29, 118.341, 35.6083, 143.478, 40.0175, -70.7449
3, 0.00000, 2402.39, -2.45432, 2386.51, 118.47, 32.1719, 143.736, 35.9366, -68.5749
4, 0.00000, 2416.34, -2.20161, 2403.54, 118.597, 28.776, 143.991, 31.9663, -65.9271
5, 0.00000, 2414.62, -1.98012, 2404.64, 118.714, 25.5832, 144.214, 28.3131, -62.9665
6, 0.00000, 2400.81, -2.23283, 2387.75, 118.586, 28.9582, 143.958, 32.1811, -66.2256
7, 0.00000, 2373.9, -2.9711, 2351.81, 118.21, 39.0953, 143.218, 44.2145, -72.5644
8, 0.00000, 2361.5, -3.67294, 2330.64, 117.858, 49.1791, 142.52, 56.5183, -76.2403
9, 0.00000, 2348.06, -4.37428, 2308.38, 117.52, 59.4178, 141.826, 69.2234, -78.7557
10, 0.00000, 2349.56, -4.80101, 2287.6, 117.27, 66.0159, 141.404, 78.0861, -80.1199
11, 0.00000, 2333.28, -5.26872, 2282.66, 117.087, 73.1764, 140.943, 86.0249, -81.0636
12, 0.00000, 2332.51, -5.47508, 2266.79, 116.988, 76.5599, 140.74, 89.3898, -81.4854
13, 0.00000, 2315.2, -5.74502, 2264.35, 116.919, 80.5174, 140.475, 93.3072, -81.8554
14, 0.00000, 2296.85, -6.02168, 2248.62, 116.851, 84.4816, 140.203, 96.5807, -82.1954
15, 0.00000, 2315.5, -5.74539, 2264.59, 116.924, 80.5001, 140.474, 93.3191, -81.8506
16, 0.00000, 2333.7, -5.47255, 2280.72, 117.002, 76.5097, 140.743, 90.0014, -81.477
17, 0.00000, 2350.28, -5.1955, 2299.67, 117.123, 72.6425, 141.016, 85.8089, -80.9546
18, 0.00000, 2315.57, -5.74419, 2264.6, 116.923, 80.4811, 140.476, 93.3196, -81.8514
19, 0.00000, 2267.96, -6.4337, 2217.53, 116.618, 89.9087, 139.798, 102.961, -82.909
20, 0.00000, 2228.91, -7.03808, 2173.91, 116.349, 97.8914, 139.204, 112.244, -83.7776
21, 0.00000, 2254.7, -6.63917, 2202.87, 116.527, 92.6029, 139.595, 106.106, -83.2146
22, 0.00000, 2315.81, -5.74542, 2264.84, 116.929, 80.4774, 140.474, 93.3309, -81.8462
23, 0.00000, 2365.17, -4.51838, 2323.27, 117.452, 62.2679, 141.684, 72.7371, -79.2102
24, 0.00000, 2393.56, -3.57401, 2363.48, 117.911, 48.5066, 142.618, 55.6336, -75.8426
