
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.33      0.999    0.01139    0.01717 4.319E-009 6.512E-009
650           2.374     0.9886   0.003437     0.1448  0.003175    0.1337
rg60          2.532      1.054    0.01125     0.4444   0.01217    0.4808
633           2.463      1.026   0.006723     0.2729   0.02174    0.8823
634            0.28      1.011  0.0008846     0.3159   0.00285     1.018
632           2.468      1.028   0.006725     0.2725   0.02081    0.8433
671           2.425       1.01    0.02724      1.123   0.06677     2.753
680           2.425       1.01    0.02724      1.123   0.06677     2.753
645           2.446      1.018          0          0         0         0
646           2.442      1.017          0          0         0         0
684           2.394     0.9966          0          0         0         0
611           2.358     0.9819          0          0         0         0
652           2.383     0.9923          0          0         0         0
692           2.425       1.01    0.02724      1.123   0.06683     2.756
675            2.42      1.008    0.02959      1.222   0.07125     2.944
