Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUB, 35323.32, 1417.039, 35323.32, 1417.039, 0, 0
Transformer.REG1, 2894.435, 363.5526, 2894.435, 363.5526, 0, 0
Transformer.REG2, 1387.888, 175.2152, 1387.888, 175.2152, 0, 0
Transformer.REG3, 2774.702, 348.5873, 2774.702, 348.5873, 0, 0
Transformer.XFM1, 3013.692, 5479.959, 3013.692, 5479.959, 0, 0
Line.650632, 32337.32, 103583.6, 32337.32, 103583.6, 0, 0
Line.632671, 20696.52, 65266.14, 20696.52, 65266.14, 0, 0
Line.671680, 5.146445E-009, -4.285092, 5.146445E-009, -4.285092, 0, 0
Line.632633, 447.3118, 571.5356, 447.3118, 571.5356, 0, 0
Line.632645, 1488.922, 1293.345, 1488.922, 1293.345, 0, 0
Line.645646, 278.4204, 221.1623, 278.4204, 221.1623, 0, 0
Line.671684, 361.1502, 307.3007, 361.1502, 307.3007, 0, 0
Line.684611, 233.7504, 236.6343, 233.7504, 236.6343, 0, 0
Line.684652, 478.7768, 105.8388, 478.7768, 105.8388, 0, 0
Line.692675, 2236.766, 1215.968, 2236.766, 1215.968, 0, 0
Line.671692, 7.044648, 7.032602, 7.044648, 7.032602, 0, 0
Capacitor.CAP1, 3.637979E-012, -203285.1, 3.637979E-012, -203285.1, 0, 0
Capacitor.CAP2, 0, -28968.67, 0, -28968.67, 0, 0
