hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2366.73, -3.07034, 2475.67, -121.267, 2352.03, 118.278, 124.709, 167.32, 21.6693, 99.2217, 78.7226, -81.7042
2, 0.00000, 2381.83, -2.8041, 2477.9, -121.173, 2369.52, 118.402, 113.182, 168.891, 21.5056, 104.253, 70.7646, -79.5622
3, 0.00000, 2396.7, -2.54259, 2480.16, -121.079, 2386.75, 118.524, 101.896, 170.727, 21.5035, 109.316, 63.0544, -76.9636
4, 0.00000, 2411.38, -2.28466, 2482.42, -120.987, 2403.78, 118.645, 90.8364, 172.922, 21.662, 114.331, 55.5922, -73.7307
5, 0.00000, 2410.32, -2.05854, 2484.94, -120.896, 2404.88, 118.756, 80.5649, 175.329, 21.9795, 119.235, 48.8046, -70.0424
6, 0.00000, 2395.79, -2.3164, 2482.7, -120.988, 2387.99, 118.634, 91.4409, 172.667, 21.6648, 114.337, 56.0202, -74.0988
7, 0.00000, 2366.74, -3.07025, 2475.67, -121.267, 2352.04, 118.278, 124.706, 167.321, 21.6693, 99.2214, 78.7193, -81.7034
8, 0.00000, 2352.2, -3.78765, 2483.54, -121.534, 2330.87, 117.946, 158.22, 164.025, 23.1014, 85.7322, 102.048, -85.9182
9, 0.00000, 2336.59, -4.50516, 2506.78, -121.78, 2308.6, 117.628, 192.465, 161.608, 25.5182, 75.1483, 126.175, -88.7114
10, 0.00000, 2336.68, -4.94263, 2516.6, -121.934, 2287.79, 117.393, 214.571, 160.394, 27.5234, 69.0493, 143.021, -90.1919
11, 0.00000, 2318.92, -5.42177, 2511.76, -122.14, 2282.83, 117.222, 238.645, 159.187, 29.9063, 63.1409, 158.989, -91.2479
12, 0.00000, 2317.46, -5.63283, 2524.25, -122.226, 2266.97, 117.13, 250.009, 158.699, 31.133, 60.9885, 165.933, -91.7151
13, 0.00000, 2299.35, -5.90898, 2522.32, -122.344, 2264.59, 117.066, 263.359, 158.089, 32.4155, 58.6332, 173.495, -92.1069
14, 0.00000, 2280.19, -6.19124, 2535.35, -122.456, 2248.97, 117.004, 277.045, 157.497, 33.942, 56.4601, 179.862, -92.465
15, 0.00000, 2299.65, -5.90921, 2537.37, -122.32, 2264.83, 117.071, 263.3, 158.091, 32.6089, 58.6569, 173.517, -92.1023
16, 0.00000, 2318.65, -5.63069, 2539.39, -122.19, 2280.87, 117.143, 249.839, 158.708, 31.3197, 61.0244, 166.928, -91.7011
17, 0.00000, 2336.04, -5.3466, 2541.48, -122.089, 2299.89, 117.256, 236.802, 159.354, 30.0811, 63.5546, 157.625, -91.0883
18, 0.00000, 2299.73, -5.908, 2537.34, -122.32, 2264.84, 117.07, 263.236, 158.094, 32.6086, 58.6569, 173.518, -92.1031
19, 0.00000, 2250.18, -6.61285, 2542.05, -122.664, 2217.9, 116.783, 295.457, 156.695, 36.8733, 52.5982, 192.269, -93.2072
20, 0.00000, 2209.5, -7.23161, 2543.01, -122.985, 2174.3, 116.53, 322.509, 155.603, 41.3839, 47.7662, 210.341, -94.1037
21, 0.00000, 2236.37, -6.82303, 2552.63, -122.753, 2203.25, 116.697, 304.585, 156.316, 38.504, 50.8888, 198.389, -93.5239
22, 0.00000, 2299.97, -5.9091, 2552.42, -122.296, 2265.08, 117.076, 263.223, 158.093, 32.802, 58.6806, 173.539, -92.098
23, 0.00000, 2353.12, -4.65285, 2534.02, -121.832, 2323.5, 117.565, 201.961, 161.157, 26.5944, 72.4056, 132.803, -89.2087
24, 0.00000, 2384.42, -3.6867, 2513.42, -121.497, 2363.71, 117.996, 155.903, 164.393, 23.1499, 87.2764, 100.302, -85.4708
