hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2400.03, -1.63023, 2405.38, -120.536, 2330.99, 119.29, 214.228, 122.84, 145.362, -23.8348, 194.836, -128.183
2, 0.00000, 2398.94, -1.42127, 2393.64, -120.463, 2332.41, 119.405, 205.345, 121.365, 143.428, -24.209, 188.338, -129.305
3, 0.00000, 2397.79, -1.20975, 2381.89, -120.389, 2333.77, 119.522, 196.635, 119.743, 141.474, -24.5979, 181.926, -130.508
4, 0.00000, 2396.59, -0.99552, 2370.13, -120.313, 2335.07, 119.642, 188.134, 117.955, 139.515, -25.0028, 175.623, -131.803
5, 0.00000, 2395.63, -0.77538, 2372.82, -120.217, 2336.37, 119.76, 179.881, 115.981, 138.26, -25.461, 169.441, -133.201
6, 0.00000, 2367.04, -1.05304, 2370.28, -120.304, 2319.53, 119.622, 187.6, 118.322, 139.506, -25.0689, 175.153, -131.703
7, 0.00000, 2319.19, -1.95916, 2359.93, -120.745, 2266.3, 119.068, 221.378, 126.254, 145.149, -19.2365, 197.552, -124.798
8, 0.00000, 2268.93, -2.85107, 2348.92, -121.243, 2217.01, 118.587, 258.483, 131.687, 152.376, -14.0171, 219.211, -119.902
9, 0.00000, 2238.2, -3.62668, 2349.85, -121.703, 2183.38, 118.127, 294.084, 135.124, 161.487, -9.40736, 242.927, -116.154
10, 0.00000, 2237, -3.72383, 2365.34, -121.445, 2176.02, 118.303, 289.984, 132.135, 155.284, -20.8441, 238.155, -121.274
11, 0.00000, 2223.62, -4.1461, 2372.47, -121.64, 2160.51, 118.102, 308.724, 133.297, 158.599, -20.2404, 250.033, -120.135
12, 0.00000, 2223.37, -4.34794, 2383.92, -121.716, 2158.95, 118.009, 319.07, 133.815, 160.56, -19.9935, 256.727, -119.607
13, 0.00000, 2223.04, -4.54721, 2395.39, -121.788, 2157.44, 117.919, 329.45, 134.29, 162.513, -19.7546, 263.444, -119.109
14, 0.00000, 2222.24, -4.74266, 2392.08, -121.898, 2155.75, 117.83, 339.789, 134.728, 163.917, -19.4439, 270.151, -118.641
15, 0.00000, 2235.51, -4.54013, 2397.27, -121.763, 2182.45, 117.934, 331.454, 134.307, 162.583, -19.7438, 266.719, -119.076
16, 0.00000, 2248.68, -4.3292, 2401.85, -121.645, 2196.86, 118.037, 323.007, 133.854, 161.243, -20.0626, 261.555, -119.552
17, 0.00000, 2275.12, -3.7912, 2414.92, -121.064, 2220.47, 118.534, 292.118, 129.145, 157.364, -33.1003, 241.503, -126.42
18, 0.00000, 2260.72, -3.89869, 2414.86, -120.824, 2199.46, 118.682, 287.713, 126.008, 164.476, -44.5965, 239.392, -131.74
19, 0.00000, 2229.94, -4.33146, 2406.7, -120.861, 2161.63, 118.611, 298.403, 125.322, 173.397, -50.6588, 246.253, -133.7
20, 0.00000, 2160.5, -5.70998, 2370.89, -122.439, 2113.32, 117.346, 380.887, 136.388, 171.026, -17.8697, 298.742, -116.717
21, 0.00000, 2184.67, -5.35374, 2393.68, -122.192, 2138.63, 117.543, 364.708, 135.79, 168.641, -18.5511, 288.683, -117.396
22, 0.00000, 2235.98, -4.54859, 2412.42, -121.713, 2195.09, 117.938, 331.659, 134.319, 163.19, -19.7499, 268.466, -119.033
23, 0.00000, 2310.92, -3.38279, 2430.8, -121.127, 2270.63, 118.477, 284.143, 131.18, 156.511, -21.3509, 242.097, -121.732
24, 0.00000, 2356.91, -2.3838, 2427.07, -120.769, 2324.78, 118.974, 242.674, 127.108, 150.603, -22.7482, 214.911, -125.22
