hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2243.39, -3.3086, 2383.87, -121.4, 2229.69, 118.169, 127.486, 166.214, 21.1634, 94.6318, 79.7742, -82.8839
2, 0.00000, 2260.05, -2.81628, 2372.37, -121.156, 2246.3, 118.462, 124.434, 155.791, 21.0237, 17.4204, 85.2359, -97.7062
3, 0.00000, 2289.61, -2.54407, 2390.73, -121.02, 2276.6, 118.594, 113.768, 156.063, 18.9659, 17.5567, 78.6473, -97.5739
4, 0.00000, 2320.32, -2.22722, 2392.74, -120.916, 2309.54, 118.739, 101.03, 156.38, 17.0545, 17.6604, 70.0025, -97.4291
5, 0.00000, 2350.5, -1.92269, 2394.82, -120.817, 2342.45, 118.885, 88.6497, 156.684, 15.1465, 17.7592, 61.3487, -97.283
6, 0.00000, 2335.82, -2.19236, 2392.49, -120.916, 2325.32, 118.753, 100.35, 156.415, 17.057, 17.6606, 69.518, -97.4146
7, 0.00000, 2290.1, -3.02531, 2385.61, -121.225, 2273.32, 118.363, 136.463, 155.582, 22.8087, 17.3514, 94.2267, -97.8056
8, 0.00000, 2260.01, -3.76469, 2376.83, -121.567, 2239.89, 118.013, 169.679, 154.842, 28.6164, 17.0089, 115.862, -98.1553
9, 0.00000, 2232.55, -4.46018, 2381.51, -121.893, 2207.99, 117.693, 200.871, 154.147, 34.2755, 16.6835, 136.836, -98.4748
10, 0.00000, 2219, -4.90444, 2389.61, -122.1, 2191.71, 117.493, 221.686, 153.703, 37.9553, 16.4763, 150.793, -98.6754
11, 0.00000, 2205.61, -5.33431, 2397.56, -122.307, 2175.69, 117.3, 242.218, 153.273, 41.6076, 16.2697, 164.523, -98.8682
12, 0.00000, 2205.12, -5.55102, 2409.45, -122.389, 2174.15, 117.213, 253.166, 153.056, 43.2844, 16.1876, 171.866, -98.9553
13, 0.00000, 2204.64, -5.76175, 2421.5, -122.469, 2172.59, 117.128, 264.109, 152.845, 44.9419, 16.1074, 179.195, -99.0402
14, 0.00000, 2204.12, -5.96815, 2433.62, -122.548, 2171, 117.045, 275.041, 152.639, 46.5816, 16.0288, 186.509, -99.1228
15, 0.00000, 2229.8, -5.74864, 2439.9, -122.412, 2198.01, 117.146, 267.461, 152.858, 44.6047, 16.1648, 181.531, -99.0216
16, 0.00000, 2256.45, -5.51846, 2445.6, -122.279, 2225.95, 117.251, 259.72, 153.089, 42.6458, 16.2977, 176.427, -98.9171
17, 0.00000, 2271.36, -5.30215, 2449.76, -122.158, 2241.61, 117.372, 250.251, 153.305, 40.7204, 16.4188, 170.077, -98.7963
18, 0.00000, 2242.54, -5.7339, 2441.23, -122.399, 2210.94, 117.151, 269.16, 152.873, 44.5759, 16.1773, 182.72, -99.017
19, 0.00000, 2214.52, -6.34976, 2428.42, -122.757, 2179.75, 116.878, 298.603, 152.257, 50.4185, 15.8193, 202.334, -99.2904
20, 0.00000, 2187.84, -6.93302, 2430.19, -123.088, 2149.97, 116.624, 327.338, 151.674, 55.9771, 15.4885, 221.394, -99.5443
21, 0.00000, 2226, -6.5308, 2442.06, -122.819, 2190.55, 116.808, 311.447, 152.076, 51.9935, 15.7574, 210.985, -99.3604
22, 0.00000, 2283.74, -5.68337, 2459.7, -122.336, 2238.04, 117.21, 273.661, 152.924, 44.2433, 16.2398, 185.212, -98.9585
23, 0.00000, 2372.24, -4.32226, 2471.05, -121.738, 2308.11, 117.669, 208.602, 154.285, 34.8642, 16.8384, 147.844, -98.4991
24, 0.00000, 2418.92, -3.33734, 2465.81, -121.375, 2348.81, 118.116, 161.5, 155.27, 27.5833, 17.2012, 114.694, -98.0519
