hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 962.733, 48.5149, 560.186, 60.6915, 859.369, 45.9517
2, 0.00000, 900.763, 49.5462, 533.169, 61.9126, 803.019, 47.0287
3, 0.00000, 839.35, 50.7365, 506.54, 63.2608, 747.188, 48.272
4, 0.00000, 778.612, 52.1226, 480.372, 64.756, 691.986, 49.7211
5, 0.00000, 718.357, 53.763, 458.759, 66.5522, 637.164, 51.4385
6, 0.00000, 771.1, 51.8377, 481.333, 64.724, 689.327, 49.5615
7, 0.00000, 966.501, 46.6267, 566.477, 57.651, 865.619, 44.1748
8, 0.00000, 1162.45, 43.3951, 659.128, 52.5487, 1030.92, 41.013
9, 0.00000, 1346.09, 41.376, 759.339, 48.92, 1195.57, 39.132
10, 0.00000, 1407.81, 42.6681, 763.434, 52.5214, 1242.74, 40.5196
11, 0.00000, 1520.29, 42.0042, 820.096, 51.3475, 1341.81, 39.9173
12, 0.00000, 1584.13, 41.7578, 850.772, 50.8767, 1397.97, 39.6393
13, 0.00000, 1648.17, 41.5372, 881.407, 50.4586, 1453.97, 39.3811
14, 0.00000, 1713.2, 41.3377, 907.098, 49.9532, 1511.15, 39.1489
15, 0.00000, 1666.82, 41.6605, 878.843, 50.5295, 1483.46, 39.306
16, 0.00000, 1618.42, 41.9595, 851.682, 51.1202, 1440.23, 39.4981
17, 0.00000, 1515.37, 44.1014, 773.524, 56.7952, 1339.92, 41.6661
18, 0.00000, 1566.63, 45.1506, 779.684, 60.4041, 1378.09, 42.8335
19, 0.00000, 1678.22, 44.9994, 828.175, 60.9864, 1473.14, 43.0226
20, 0.00000, 1935.06, 40.5737, 1025.07, 47.8278, 1739.9, 38.4529
21, 0.00000, 1850.46, 40.8011, 989.543, 48.5485, 1664.74, 38.7495
22, 0.00000, 1667.47, 41.7012, 883.335, 50.6461, 1497.3, 39.2894
23, 0.00000, 1389.71, 43.449, 748.395, 53.9991, 1260.29, 40.9676
24, 0.00000, 1139.53, 45.7879, 641.351, 57.4632, 1035.12, 43.4416
