hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2415.66, -1.69804, 2408.51, -120.625, 2341.61, 119.106, 246.173, -59.1741, 145.329, 156.167, 215.091, 59.1041
2, 0.00000, 2413.69, -1.49645, 2396.86, -120.556, 2342.59, 119.226, 234.824, -60.3699, 143.395, 155.792, 206.333, 57.7647
3, 0.00000, 2411.67, -1.29229, 2385.21, -120.485, 2343.52, 119.347, 223.608, -61.7022, 141.442, 155.403, 197.714, 56.3022
4, 0.00000, 2409.59, -1.08543, 2373.55, -120.412, 2344.38, 119.471, 212.559, -63.1923, 139.483, 154.998, 189.265, 54.7004
5, 0.00000, 2407.74, -0.872457, 2376.36, -120.32, 2345.27, 119.594, 201.713, -64.8652, 138.228, 154.54, 181.008, 52.939
6, 0.00000, 2380.05, -1.14102, 2373.67, -120.403, 2328.85, 119.45, 212.222, -62.8958, 139.474, 154.932, 189.018, 54.8544
7, 0.00000, 2335.57, -2.01076, 2363.46, -120.822, 2277.29, 118.895, 253.735, -56.2429, 145.117, 160.766, 220.076, 62.2009
8, 0.00000, 2288.63, -2.86773, 2352.7, -121.295, 2229.36, 118.413, 297.938, -51.8178, 152.345, 165.986, 250.725, 67.2424
9, 0.00000, 2260.86, -3.6105, 2353.96, -121.734, 2197.18, 117.953, 339.434, -49.0553, 161.457, 170.597, 282.698, 70.7911
10, 0.00000, 2259.75, -3.72287, 2367.67, -121.5, 2189.24, 118.082, 341.616, -52.028, 155.252, 159.158, 279.517, 67.278
11, 0.00000, 2248, -4.12989, 2374.66, -121.688, 2174.43, 117.872, 364.633, -51.1895, 158.567, 159.762, 296.345, 68.4842
12, 0.00000, 2248.63, -4.324, 2386.03, -121.76, 2173.25, 117.775, 377.266, -50.8192, 160.528, 160.009, 305.667, 69.0345
13, 0.00000, 2249.2, -4.51556, 2397.42, -121.829, 2172.13, 117.681, 389.924, -50.4832, 162.481, 160.248, 315.023, 69.5477
14, 0.00000, 2249.3, -4.70352, 2394.01, -121.934, 2170.8, 117.587, 402.523, -50.1776, 163.885, 160.559, 324.37, 70.0252
15, 0.00000, 2261.87, -4.5074, 2399.21, -121.802, 2197.33, 117.695, 392.461, -50.4959, 162.551, 160.259, 318.862, 69.5405
16, 0.00000, 2274.32, -4.30394, 2403.84, -121.688, 2211.45, 117.802, 382.091, -50.8124, 161.211, 159.94, 311.361, 69.0487
17, 0.00000, 2298.47, -3.80345, 2415.27, -121.141, 2233.47, 118.263, 350.998, -54.8901, 157.331, 146.899, 284.323, 63.7192
18, 0.00000, 2283.99, -3.92538, 2413.37, -120.926, 2211.83, 118.363, 353.126, -57.7882, 164.444, 135.401, 282.031, 60.1761
19, 0.00000, 2254.38, -4.35456, 2403.9, -120.974, 2174.12, 118.253, 371.117, -58.589, 173.366, 129.338, 292.272, 59.299
20, 0.00000, 2191.02, -5.63184, 2372.53, -122.46, 2130.05, 117.085, 452.999, -49.1172, 170.994, 162.133, 364.758, 71.8601
21, 0.00000, 2213.83, -5.29004, 2395.41, -122.22, 2154.82, 117.289, 433.271, -49.5122, 168.609, 161.452, 350.238, 71.1924
22, 0.00000, 2262.36, -4.5145, 2414.33, -121.753, 2210.12, 117.699, 392.824, -50.5117, 163.158, 160.253, 320.867, 69.5374
23, 0.00000, 2333.15, -3.38873, 2433.06, -121.188, 2284.22, 118.259, 333.442, -52.7127, 156.478, 158.651, 280.825, 66.4083
24, 0.00000, 2375.33, -2.42531, 2429.82, -120.846, 2336.68, 118.776, 281.981, -55.8145, 150.57, 157.254, 242.653, 62.5412
