hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 289.221, 89.9999, 290.512, 90, 272.822, 89.9999, 0, 0
2, 0.00000, 288.995, 90, 287.719, 90, 273.188, 90, 0, 0
3, 0.00000, 288.724, 90, 284.905, 90, 273.511, 90, 0, 0
4, 0.00000, 288.434, 90, 282.101, 90, 273.817, 90, 0, 0
5, 0.00000, 288.204, 90, 282.741, 90, 274.122, 90, 0, 0
6, 0.00000, 281.366, 90.0875, 282.137, 90.0875, 270.185, 90.0875, 0, 0
7, 0.00000, 270.105, 90.0875, 279.678, 90.0875, 257.925, 90.0875, 0, 0
8, 0.00000, 258.524, 90.0875, 277.073, 90.0875, 246.829, 90.0875, 0, 0
9, 0.00000, 251.57, 90.0875, 277.293, 90.0875, 239.397, 90.0875, 0, 0
10, 0.00000, 251.299, 90.0875, 280.962, 90.0875, 237.786, 90.0875, 0, 0
11, 0.00000, 248.303, 90.0875, 282.659, 90.0875, 234.408, 90.0875, 0, 0
12, 0.00000, 248.246, 90.0875, 285.393, 90.0875, 234.071, 90.0875, 0, 0
13, 0.00000, 248.174, 90.0875, 288.147, 90.0875, 233.743, 90.0875, 0, 0
14, 0.00000, 247.995, 90.0875, 287.35, 90.0875, 233.377, 90.0875, 0, 0
15, 0.00000, 250.965, 90.0875, 288.599, 90.0875, 239.193, 90.0875, 0, 0
16, 0.00000, 253.932, 90.0875, 289.702, 90.0875, 242.363, 90.0875, 0, 0
17, 0.00000, 259.938, 90.0875, 292.864, 90.0875, 247.599, 90.0875, 0, 0
18, 0.00000, 256.658, 90.0875, 292.849, 90.0875, 242.936, 90.0875, 0, 0
19, 0.00000, 249.716, 90.0875, 290.873, 90.0875, 234.652, 90.0875, 0, 0
20, 0.00000, 234.406, 90, 282.28, 90, 224.279, 90, 0, 0
21, 0.00000, 239.68, 90, 287.735, 90, 229.685, 90, 0, 0
22, 0.00000, 251.071, 90, 292.257, 90, 241.971, 90, 0, 0
23, 0.00000, 268.181, 90.0001, 296.727, 90, 258.912, 89.9999, 0, 0
24, 0.00000, 278.962, 90, 295.817, 90, 271.408, 90, 0, 0
