hour, t(sec), Tap (pu)
1, 0.00000, 1.075
2, 0.00000, 1.06875
3, 0.00000, 1.0625
4, 0.00000, 1.05625
5, 0.00000, 1.05
6, 0.00000, 1.05
7, 0.00000, 1.05
8, 0.00000, 1.05
9, 0.00000, 1.05625
10, 0.00000, 1.0625
11, 0.00000, 1.06875
12, 0.00000, 1.075
13, 0.00000, 1.08125
14, 0.00000, 1.0875
15, 0.00000, 1.09375
16, 0.00000, 1.09375
17, 0.00000, 1.09375
18, 0.00000, 1.09375
19, 0.00000, 1.09375
20, 0.00000, 1.1
21, 0.00000, 1.1
22, 0.00000, 1.1
23, 0.00000, 1.1
24, 0.00000, 1.09375
