hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 1000.95, 52.9329, 962.475, 43.3776, 1120.04, 46.5234, 0, 0
2, 0.00000, 934.249, 53.8017, 895.112, 44.4595, 1040.88, 47.3447, 0, 0
3, 0.00000, 868.324, 54.815, 828.68, 45.7116, 962.775, 48.307, 0, 0
4, 0.00000, 803.284, 56.0073, 763.298, 47.1759, 885.842, 49.4459, 0, 0
5, 0.00000, 741.458, 57.3874, 700.151, 49.1049, 809.652, 50.8154, 0, 0
6, 0.00000, 800.868, 55.7049, 762.098, 47.1866, 880.25, 49.3482, 0, 0
7, 0.00000, 1010.15, 51.1427, 975.688, 41.957, 1127.47, 45.0935, 0, 0
8, 0.00000, 1226.36, 48.3251, 1191.85, 39.0664, 1374, 42.4931, 0, 0
9, 0.00000, 1441.62, 46.3785, 1415.67, 37.4017, 1617.4, 41.1123, 0, 0
10, 0.00000, 1517.4, 47.9496, 1484.31, 38.4147, 1711.16, 42.2497, 0, 0
11, 0.00000, 1652.56, 47.3691, 1621.83, 37.8906, 1865.14, 41.8303, 0, 0
12, 0.00000, 1725.87, 47.2053, 1695.96, 37.6105, 1951.89, 41.6619, 0, 0
13, 0.00000, 1799.65, 47.0703, 1770.23, 37.3547, 2039.35, 41.5079, 0, 0
14, 0.00000, 1871.52, 46.9844, 1844.31, 37.024, 2129.11, 41.3765, 0, 0
15, 0.00000, 1807.43, 47.3497, 1785, 36.9652, 2069.22, 41.6231, 0, 0
16, 0.00000, 1743.93, 47.6803, 1717.78, 37.1084, 1998.62, 41.7555, 0, 0
17, 0.00000, 1620.53, 50.0984, 1576.85, 38.836, 1861.96, 43.3476, 0, 0
18, 0.00000, 1691.33, 51.3199, 1639.73, 39.7551, 1946.96, 44.2771, 0, 0
19, 0.00000, 1843.11, 51.1679, 1794.02, 39.8822, 2118.45, 44.4159, 0, 0
20, 0.00000, 2166.31, 45.9743, 2180.65, 36.2738, 2482.2, 41.3684, 0, 0
21, 0.00000, 2057.68, 46.2568, 2062.02, 36.5063, 2353.99, 41.4415, 0, 0
22, 0.00000, 1809.69, 47.3655, 1793.75, 36.8898, 2077.83, 41.742, 0, 0
23, 0.00000, 1475.54, 48.9217, 1453.52, 38.2769, 1692.74, 42.969, 0, 0
24, 0.00000, 1199.45, 50.682, 1171.9, 40.7125, 1359.3, 44.7287, 0, 0
