hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2333.7, 119.001, 44.5097, -71.8953
2, 0.00000, 2335.5, 119.125, 40.5871, -70.3417
3, 0.00000, 2337.24, 119.252, 36.7017, -68.4852
4, 0.00000, 2338.93, 119.381, 32.8644, -66.2241
5, 0.00000, 2340.63, 119.509, 29.0897, -63.4089
6, 0.00000, 2323.33, 119.359, 33.1013, -66.5262
7, 0.00000, 2269.15, 118.787, 45.4264, -72.7988
8, 0.00000, 2219, 118.291, 56.0342, -76.1546
9, 0.00000, 2184.62, 117.816, 66.6805, -78.5035
10, 0.00000, 2175.17, 117.935, 74.0943, -79.3144
11, 0.00000, 2158.91, 117.715, 81.1622, -80.2846
12, 0.00000, 2156.98, 117.613, 84.9253, -80.7133
13, 0.00000, 2155.09, 117.514, 88.6855, -81.1114
14, 0.00000, 2153, 117.415, 92.4309, -81.484
15, 0.00000, 2180.08, 117.528, 89.8371, -81.1066
16, 0.00000, 2194.85, 117.639, 86.5955, -80.7017
17, 0.00000, 2217.49, 118.105, 83.6285, -79.9177
18, 0.00000, 2194.45, 118.196, 90.4994, -80.4434
19, 0.00000, 2154.76, 118.071, 100.211, -81.3139
20, 0.00000, 2108.87, 116.888, 109.101, -83.087
21, 0.00000, 2134.88, 117.101, 102.986, -82.4934
22, 0.00000, 2192.75, 117.531, 90.4211, -81.1078
23, 0.00000, 2270.28, 118.115, 73.6612, -78.7348
24, 0.00000, 2326.28, 118.655, 56.4889, -75.3554
