hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2225.47, 118.028, 44.4518, -73.5264
2, 0.00000, 2243.63, 118.304, 40.9348, -71.9279
3, 0.00000, 2274.33, 118.446, 37.6046, -70.1949
4, 0.00000, 2307.74, 118.604, 33.3468, -67.5634
5, 0.00000, 2341.12, 118.762, 29.0866, -64.1485
6, 0.00000, 2323.56, 118.619, 33.0978, -67.2622
7, 0.00000, 2270.23, 118.195, 45.4506, -73.3919
8, 0.00000, 2235.6, 117.815, 56.5027, -76.6396
9, 0.00000, 2202.57, 117.467, 67.2933, -78.8612
10, 0.00000, 2185.54, 117.247, 74.4893, -80.0065
11, 0.00000, 2168.77, 117.035, 81.5772, -80.9687
12, 0.00000, 2166.84, 116.938, 85.3603, -81.3922
13, 0.00000, 2164.89, 116.844, 89.1372, -81.7851
14, 0.00000, 2162.91, 116.751, 92.9073, -82.151
15, 0.00000, 2190.21, 116.861, 90.3038, -81.7767
16, 0.00000, 2218.44, 116.975, 87.6349, -81.375
17, 0.00000, 2234.45, 117.105, 84.3428, -80.9245
18, 0.00000, 2203.09, 116.865, 90.8979, -81.777
19, 0.00000, 2170.83, 116.565, 101.047, -82.8259
20, 0.00000, 2140.01, 116.283, 110.909, -83.7007
21, 0.00000, 2181.18, 116.484, 105.489, -83.1249
22, 0.00000, 2230.05, 116.923, 92.1412, -81.7291
23, 0.00000, 2302.29, 117.435, 73.2231, -79.2449
24, 0.00000, 2344.78, 117.927, 55.9916, -75.8923
