hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2497.18, -0.450716, 2433.14, -120.407, 2439.88, 119.762, 431.712, 132.511, 337.923, 10.7883, 425.971, -106.65
2, 0.00000, 2490.81, -0.376085, 2421.84, -120.358, 2434.78, 119.809, 403.847, 131.638, 318.087, 9.70741, 397.596, -107.485
3, 0.00000, 2484.38, -0.299537, 2410.53, -120.308, 2429.63, 119.858, 376.076, 130.613, 298.278, 8.46612, 369.299, -108.463
4, 0.00000, 2477.88, -0.220985, 2399.21, -120.256, 2424.42, 119.909, 348.443, 129.4, 278.543, 7.02802, 341.122, -109.619
5, 0.00000, 2471.48, -0.139802, 2402.6, -120.189, 2419.18, 119.961, 320.85, 127.94, 258.97, 5.1961, 312.863, -111.02
6, 0.00000, 2448.22, -0.252122, 2399.28, -120.252, 2409.19, 119.898, 349.657, 129.641, 279.048, 7.04519, 342.081, -109.502
7, 0.00000, 2419.29, -0.606723, 2387.57, -120.522, 2377.42, 119.651, 447.538, 134.034, 349.606, 12.6226, 439.554, -105.294
8, 0.00000, 2388.93, -0.943605, 2375.43, -120.82, 2347.61, 119.443, 548.266, 136.601, 424.007, 16.1665, 534.262, -102.954
9, 0.00000, 2375.72, -1.22149, 2376.66, -121.092, 2333.03, 119.255, 641.683, 138.125, 499.24, 18.4567, 626.951, -101.662
10, 0.00000, 2380.05, -1.22451, 2388.54, -121.007, 2334.4, 119.339, 674.834, 137.022, 515.765, 16.8955, 659.961, -102.805
11, 0.00000, 2377.22, -1.36177, 2395.26, -121.132, 2330.79, 119.267, 731.711, 137.472, 559.395, 17.6351, 715.569, -102.433
12, 0.00000, 2382.63, -1.42333, 2406.29, -121.178, 2335.55, 119.237, 761.204, 137.624, 580.184, 17.9211, 744.556, -102.249
13, 0.00000, 2387.97, -1.48293, 2417.33, -121.221, 2340.32, 119.209, 790.678, 137.756, 600.756, 18.1724, 773.369, -102.079
14, 0.00000, 2393.01, -1.53668, 2413.45, -121.293, 2344.96, 119.181, 820.545, 137.874, 622.868, 18.4719, 802.914, -101.927
15, 0.00000, 2401.36, -1.47064, 2418.32, -121.209, 2367.12, 119.226, 793.973, 137.654, 598.894, 18.1518, 777.842, -101.962
16, 0.00000, 2409.68, -1.40169, 2422.82, -121.133, 2375.98, 119.264, 766.777, 137.456, 575.848, 17.8038, 750.462, -102.052
17, 0.00000, 2425.72, -1.19712, 2432.6, -120.841, 2390.59, 119.468, 714.54, 135.81, 525.409, 15.0639, 698.215, -103.62
18, 0.00000, 2416.09, -1.20569, 2429.22, -120.77, 2377.8, 119.535, 746.892, 134.936, 543.826, 13.6861, 731.018, -104.556
19, 0.00000, 2396.17, -1.33255, 2419.19, -120.852, 2354.63, 119.514, 812.751, 134.982, 594.738, 13.7914, 798.007, -104.795
20, 0.00000, 2354.1, -1.8177, 2391.71, -121.657, 2330.49, 119.019, 947.62, 138.256, 731.75, 19.6896, 936.201, -101.636
21, 0.00000, 2369.1, -1.72656, 2415.1, -121.484, 2345.93, 119.095, 899.483, 138.155, 688.612, 19.2609, 886.761, -101.738
22, 0.00000, 2401.56, -1.47591, 2433.44, -121.176, 2380.63, 119.235, 794.169, 137.613, 596.842, 18.0838, 779.164, -101.923
23, 0.00000, 2448.01, -1.0863, 2453.53, -120.802, 2427.1, 119.442, 644.282, 136.45, 484.176, 15.97, 636.111, -102.964
24, 0.00000, 2470.66, -0.733047, 2452.74, -120.564, 2453.91, 119.64, 520.399, 134.712, 398.962, 13.4299, 513.414, -104.733
