hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 283.791, -0.873011, 277.3, -120.722, 277.989, 119.471, 0, 0, 410.509, 144.618, 324.558, 22.4081, 323.753, -97.3988, 86.3458, -27.865
2, 0.00000, 283.413, -0.764635, 276.272, -120.649, 277.693, 119.542, 0, 0, 376.802, 144.727, 298.619, 22.4808, 297.09, -97.3281, 78.8709, -28.0714
3, 0.00000, 283.029, -0.654101, 275.245, -120.575, 277.391, 119.614, 0, 0, 343.012, 144.837, 272.485, 22.5554, 270.376, -97.2555, 71.4501, -28.2768
4, 0.00000, 282.638, -0.541321, 274.218, -120.498, 277.082, 119.689, 0, 0, 309.138, 144.95, 246.155, 22.6319, 243.61, -97.1808, 64.083, -28.4801
5, 0.00000, 282.259, -0.425778, 274.906, -120.404, 276.77, 119.765, 0, 0, 275.158, 145.066, 218.256, 22.726, 216.786, -97.1049, 57.6656, -27.6514
6, 0.00000, 279.174, -0.580624, 274.228, -120.494, 275.307, 119.675, 0, 0, 312.973, 144.911, 246.146, 22.636, 245.181, -97.1944, 67.377, -27.7749
7, 0.00000, 274.656, -1.05748, 271.977, -120.85, 270.687, 119.345, 0, 0, 424.163, 144.434, 330.91, 22.2801, 332.488, -97.525, 92.7095, -27.3169
8, 0.00000, 269.929, -1.52447, 269.662, -121.235, 266.261, 119.049, 0, 0, 539.488, 143.967, 417.189, 21.8952, 422.517, -97.8206, 119.713, -26.996
9, 0.00000, 267.187, -1.9299, 268.903, -121.591, 263.597, 118.776, 0, 0, 654.032, 143.562, 502.039, 21.539, 512.145, -98.0942, 146.834, -26.5977
10, 0.00000, 266.905, -2.01118, 269.699, -121.557, 263.121, 118.806, 0, 0, 727.468, 143.48, 556.176, 21.5732, 569.948, -98.0642, 164.506, -26.384
11, 0.00000, 265.764, -2.2318, 269.889, -121.735, 262.111, 118.683, 0, 0, 803.65, 143.26, 611.364, 21.3947, 624.275, -98.1874, 184.823, -27.6752
12, 0.00000, 266.008, -2.33023, 270.892, -121.803, 262.342, 118.627, 0, 0, 839.41, 143.161, 636.787, 21.3266, 653.29, -98.2428, 193.606, -27.1443
13, 0.00000, 266.244, -2.42654, 271.899, -121.869, 262.572, 118.573, 0, 0, 875.128, 143.065, 662.01, 21.2612, 682.356, -98.2966, 202.475, -26.6178
14, 0.00000, 266.446, -2.51652, 271.136, -121.97, 262.791, 118.519, 0, 0, 910.903, 142.975, 691.537, 21.1598, 711.443, -98.351, 208.204, -26.912
15, 0.00000, 267.845, -2.4029, 272.014, -121.856, 265.721, 118.601, 0, 0, 869.899, 143.089, 661.732, 21.274, 677.402, -98.2684, 198.96, -27.6001
16, 0.00000, 269.237, -2.28731, 272.846, -121.751, 267.089, 118.671, 0, 0, 829.343, 143.204, 632.226, 21.3795, 645.852, -98.1988, 189.197, -27.7086
17, 0.00000, 271.544, -2.03132, 274.301, -121.426, 269.136, 118.908, 0, 0, 786.544, 143.46, 601.53, 21.7042, 613.073, -97.9618, 178.727, -27.883
18, 0.00000, 269.606, -2.12608, 273.305, -121.412, 266.99, 118.916, 0, 0, 864.216, 143.365, 658.604, 21.7183, 674.182, -97.9539, 197.514, -27.6637
19, 0.00000, 266.014, -2.391, 271.212, -121.582, 263.275, 118.801, 0, 0, 985.37, 143.1, 746.649, 21.5484, 769.158, -98.0687, 226.89, -27.373
20, 0.00000, 260.016, -3.00937, 267.007, -122.492, 259.694, 118.23, 0, 0, 1092.16, 142.482, 842.678, 20.6384, 842.579, -98.6396, 241.64, -32.3048
21, 0.00000, 262.413, -2.84524, 270.423, -122.246, 261.998, 118.357, 0, 0, 1029.78, 142.646, 776.561, 20.8845, 794.153, -98.5129, 240.543, -28.8956
22, 0.00000, 267.867, -2.40826, 273.808, -121.815, 267.325, 118.619, 0, 0, 869.827, 143.083, 657.397, 21.315, 673.339, -98.2511, 203.238, -27.886
23, 0.00000, 275.356, -1.79024, 277.655, -121.297, 274.375, 118.976, 0, 0, 669.888, 143.701, 513.226, 21.8328, 519.363, -97.8943, 153.304, -28.4352
24, 0.00000, 279.554, -1.27505, 278.725, -120.953, 278.736, 119.281, 0, 0, 520.915, 144.216, 403.623, 22.1768, 403.608, -97.5885, 116.886, -29.1152
