hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 261.387, -1.85408, 269.73, -121.28, 261.45, 118.783, 0, 0, 439.423, 143.637, 333.658, 21.8498, 339.562, -98.0872, 103.959, -27.8251
2, 0.00000, 263.77, -1.58414, 269.64, -121.098, 263.762, 118.965, 0, 0, 404.864, 143.907, 305.954, 22.0322, 312.784, -97.9052, 96.8623, -26.6609
3, 0.00000, 266.94, -1.42792, 272.124, -120.974, 266.887, 119.059, 0, 0, 363.729, 144.063, 275.614, 22.1557, 281.029, -97.8113, 86.6923, -26.7261
4, 0.00000, 270.172, -1.25192, 272.776, -120.876, 270.169, 119.156, 0, 0, 323.428, 144.239, 247.449, 22.2546, 249.868, -97.7137, 75.6217, -27.6713
5, 0.00000, 273.36, -1.08253, 273.429, -120.779, 273.441, 119.253, 0, 0, 284.134, 144.409, 219.43, 22.3508, 219.443, -97.6164, 65.2005, -28.691
6, 0.00000, 271.948, -1.23032, 272.762, -120.876, 271.961, 119.167, 0, 0, 321.291, 144.261, 247.469, 22.2543, 248.197, -97.7034, 74.0465, -28.5833
7, 0.00000, 267.566, -1.68238, 270.749, -121.173, 267.449, 118.908, 0, 0, 435.384, 143.809, 332.416, 21.9571, 336.51, -97.9617, 101.776, -28.2106
8, 0.00000, 264.919, -2.08076, 268.602, -121.49, 264.862, 118.675, 0, 0, 549.712, 143.411, 418.842, 21.6403, 424.766, -98.1948, 128.4, -28.7203
9, 0.00000, 262.443, -2.45374, 268.101, -121.788, 262.391, 118.463, 0, 0, 662.087, 143.038, 503.62, 21.3414, 511.374, -98.4067, 154.424, -29.2715
10, 0.00000, 261.395, -2.68112, 268.342, -121.977, 261.35, 118.335, 0, 0, 732.395, 142.81, 559.088, 21.1525, 565.696, -98.5349, 168.942, -30.2133
11, 0.00000, 260.357, -2.89798, 268.571, -122.165, 260.326, 118.213, 0, 0, 802.087, 142.594, 614.378, 20.9655, 619.56, -98.6567, 183.01, -31.1132
12, 0.00000, 260.57, -3.00695, 269.603, -122.238, 260.566, 118.16, 0, 0, 839.307, 142.485, 639.848, 20.8923, 648.385, -98.7102, 193.087, -30.6343
13, 0.00000, 260.781, -3.11225, 270.647, -122.309, 260.8, 118.108, 0, 0, 876.584, 142.379, 665.097, 20.8209, 677.251, -98.7618, 203.338, -30.1579
14, 0.00000, 260.986, -3.21466, 271.697, -122.379, 261.029, 118.058, 0, 0, 913.905, 142.277, 690.137, 20.751, 706.157, -98.8116, 213.744, -29.6898
15, 0.00000, 263.784, -3.1005, 272.659, -122.262, 263.823, 118.127, 0, 0, 883.318, 142.391, 660.208, 20.8681, 682.305, -98.7425, 211.61, -28.1588
16, 0.00000, 266.847, -2.95835, 273.553, -122.148, 266.848, 118.207, 0, 0, 836.858, 142.533, 630.616, 20.9818, 646.499, -98.6628, 197.545, -28.9915
17, 0.00000, 268.349, -2.84244, 274.353, -122.041, 268.301, 118.284, 0, 0, 795.911, 142.649, 601.416, 21.0892, 614.983, -98.5855, 187.096, -29.1683
18, 0.00000, 265.406, -3.07573, 272.737, -122.255, 265.444, 118.14, 0, 0, 877.875, 142.416, 659.953, 20.8747, 678.098, -98.7304, 207.808, -28.877
19, 0.00000, 262.772, -3.39194, 270.274, -122.578, 262.912, 117.96, 0, 0, 994.508, 142.1, 749.309, 20.5521, 768.751, -98.9097, 232.357, -29.5214
20, 0.00000, 260.43, -3.6659, 269.521, -122.871, 260.644, 117.806, 0, 0, 1094.1, 141.826, 834.862, 20.2591, 846.001, -99.0644, 247.056, -31.711
21, 0.00000, 264.512, -3.46165, 271.418, -122.637, 264.708, 117.93, 0, 0, 1027.77, 142.03, 773.768, 20.4926, 793.416, -98.9397, 240.473, -29.7822
22, 0.00000, 270.468, -3.01049, 274.712, -122.207, 268.776, 118.185, 0, 0, 861.388, 142.481, 655.227, 20.9236, 669.62, -98.6853, 197.57, -29.2913
23, 0.00000, 278.808, -2.32265, 278.132, -121.684, 274.668, 118.489, 0, 0, 661.599, 143.169, 512.342, 21.4461, 518.778, -98.3806, 146.475, -28.8552
24, 0.00000, 283.025, -1.81515, 279.102, -121.335, 277.357, 118.765, 0, 0, 514.514, 143.676, 403.079, 21.7952, 405.586, -98.1046, 110.879, -28.4925
