hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2253.68, -3.18091, 2381.38, -121.317, 2233.43, 118.135, 301.419, 150.771, 126.133, 37.0182, 270.862, -84.1733
2, 0.00000, 2270.41, -2.72926, 2370.97, -121.107, 2250.85, 118.406, 289.339, 146.83, 126.833, 26.6532, 259.426, -88.4324
3, 0.00000, 2299.1, -2.46492, 2389.4, -120.976, 2280.83, 118.544, 263.057, 147.047, 114.095, 26.8181, 236.239, -87.9979
4, 0.00000, 2328.75, -2.15777, 2391.55, -120.877, 2313.32, 118.695, 233.943, 147.307, 101.882, 26.9753, 209.798, -87.472
5, 0.00000, 2357.89, -1.86258, 2393.79, -120.783, 2345.76, 118.847, 205.546, 147.559, 89.8641, 27.1284, 183.541, -86.8435
6, 0.00000, 2344.19, -2.12387, 2391.33, -120.877, 2329.07, 118.71, 232.559, 147.336, 101.509, 26.9804, 208.485, -87.4193
7, 0.00000, 2301.47, -2.9306, 2384.04, -121.172, 2278.38, 118.302, 315.703, 146.65, 137.06, 26.5289, 284.37, -88.7023
8, 0.00000, 2274.12, -3.64655, 2374.96, -121.501, 2246.05, 117.938, 395.006, 146.007, 172.88, 26.091, 355.49, -89.5493
9, 0.00000, 2249.22, -4.31922, 2379.38, -121.814, 2215.23, 117.605, 469.429, 145.569, 208.712, 25.6893, 423.112, -90.3703
10, 0.00000, 2237.38, -4.7483, 2387.3, -122.013, 2199.67, 117.395, 518.865, 145.258, 232.202, 25.4522, 468.065, -90.8259
11, 0.00000, 2225.67, -5.16309, 2395.09, -122.212, 2184.35, 117.193, 567.491, 144.94, 255.431, 25.2553, 512.507, -91.2473
12, 0.00000, 2226.09, -5.37213, 2406.86, -122.29, 2183.19, 117.101, 593.456, 144.784, 266.944, 25.0912, 535.614, -91.3969
13, 0.00000, 2226.51, -5.57519, 2418.81, -122.366, 2182, 117.012, 619.098, 144.613, 278.1, 24.9672, 558.668, -91.5398
14, 0.00000, 2226.89, -5.77395, 2430.82, -122.44, 2180.78, 116.924, 644.563, 144.438, 289.06, 24.862, 581.672, -91.6768
15, 0.00000, 2251.97, -5.56151, 2437.11, -122.307, 2207.54, 117.029, 624.593, 144.47, 275.442, 24.9975, 563.514, -91.3445
16, 0.00000, 2278.01, -5.33846, 2442.82, -122.177, 2235.22, 117.138, 603.991, 144.532, 261.986, 25.1341, 544.694, -91.0224
17, 0.00000, 2292.15, -5.12957, 2447.03, -122.06, 2250.56, 117.263, 578.712, 144.763, 249.5, 25.2724, 521.328, -90.8517
18, 0.00000, 2264.86, -5.54652, 2438.39, -122.294, 2220.54, 117.034, 627.625, 144.404, 274.505, 25.0005, 566.212, -91.2534
19, 0.00000, 2239.23, -6.14018, 2425.41, -122.64, 2190.34, 116.748, 699.609, 144.035, 311.721, 24.6098, 631.446, -91.8777
20, 0.00000, 2214.88, -6.70138, 2427, -122.96, 2161.52, 116.481, 769.272, 143.662, 347.839, 24.3097, 695.016, -92.448
21, 0.00000, 2251.78, -6.31329, 2438.89, -122.697, 2201.58, 116.673, 728.484, 143.806, 321.529, 24.5156, 657.486, -91.9114
22, 0.00000, 2306.47, -5.49629, 2456.74, -122.23, 2247.74, 117.091, 631.476, 144.474, 271.319, 25.0435, 567.745, -91.143
23, 0.00000, 2389.6, -4.18055, 2468.62, -121.66, 2316.12, 117.578, 484.135, 145.566, 210.51, 25.7607, 444.77, -90.2178
24, 0.00000, 2432.37, -3.2295, 2463.92, -121.315, 2355.06, 118.047, 376.067, 146.367, 164.748, 26.2877, 344.62, -89.2504
