hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2412.87, -1.72061, 2337.64, 119.067, 38.4581, 144.468, 44.5097, -71.8951
2, 0.00000, 2411.14, -1.51651, 2339.03, 119.188, 35.2675, 144.672, 40.587, -70.3415
3, 0.00000, 2409.34, -1.30982, 2340.37, 119.311, 32.0746, 144.879, 36.7017, -68.485
4, 0.00000, 2407.49, -1.10043, 2341.65, 119.436, 28.8795, 145.09, 32.8643, -66.2239
5, 0.00000, 2405.86, -0.884908, 2342.94, 119.561, 25.6788, 145.309, 29.0897, -63.4086
6, 0.00000, 2377.91, -1.15649, 2326.08, 119.415, 29.241, 145.034, 33.1013, -66.5259
7, 0.00000, 2332.67, -2.03521, 2273.21, 118.855, 39.7913, 144.154, 45.4263, -72.7987
8, 0.00000, 2284.89, -2.90107, 2224.17, 118.371, 50.565, 143.294, 56.0342, -76.1545
9, 0.00000, 2256.45, -3.65181, 2190.89, 117.907, 59.7822, 142.55, 66.6804, -78.5034
10, 0.00000, 2254.85, -3.76939, 2182.2, 118.033, 66.3283, 142.439, 74.0943, -79.3143
11, 0.00000, 2242.65, -4.1816, 2166.67, 117.821, 72.4746, 142.033, 81.1622, -80.2845
12, 0.00000, 2243.04, -4.37831, 2165.12, 117.723, 75.758, 141.839, 84.9253, -80.7132
13, 0.00000, 2243.36, -4.57245, 2163.61, 117.628, 79.038, 141.648, 88.6855, -81.1113
14, 0.00000, 2243.22, -4.763, 2161.91, 117.533, 82.2975, 141.461, 92.4308, -81.4839
15, 0.00000, 2256.01, -4.56442, 2188.71, 117.642, 79.5328, 141.656, 89.837, -81.1065
16, 0.00000, 2268.67, -4.3584, 2203.15, 117.749, 76.7194, 141.859, 86.5954, -80.7016
17, 0.00000, 2293, -3.8553, 2225.48, 118.212, 74.2812, 142.359, 83.6284, -79.9176
18, 0.00000, 2278.07, -3.98233, 2203.14, 118.31, 80.3955, 142.239, 90.4994, -80.4434
19, 0.00000, 2247.81, -4.41903, 2164.45, 118.196, 89.0233, 141.812, 100.211, -81.3138
20, 0.00000, 2183.99, -5.70407, 2119.47, 117.024, 95.6998, 140.537, 109.101, -83.087
21, 0.00000, 2207.19, -5.35723, 2144.86, 117.23, 90.4376, 140.877, 102.986, -82.4934
22, 0.00000, 2256.52, -4.57159, 2201.43, 117.645, 79.5526, 141.649, 90.421, -81.1077
23, 0.00000, 2328.56, -3.43183, 2277.25, 118.21, 63.2611, 142.772, 73.6611, -78.7347
24, 0.00000, 2371.77, -2.45638, 2331.47, 118.733, 48.9602, 143.736, 56.4888, -75.3553
