hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2250.75, -3.20595, 2229.44, 118.096, 39.8204, 142.984, 44.4517, -73.5263
2, 0.00000, 2267.7, -2.75165, 2247.23, 118.369, 36.8186, 143.437, 40.9347, -71.9277
3, 0.00000, 2296.63, -2.48446, 2277.57, 118.507, 33.6654, 143.704, 37.6046, -70.1947
4, 0.00000, 2326.55, -2.17394, 2310.52, 118.66, 29.8938, 144.016, 33.3468, -67.5632
5, 0.00000, 2355.96, -1.8755, 2343.43, 118.814, 26.228, 144.317, 29.0866, -64.1482
6, 0.00000, 2342, -2.13972, 2326.31, 118.675, 29.6923, 144.05, 33.0978, -67.262
7, 0.00000, 2298.51, -2.95556, 2274.29, 118.263, 40.3852, 143.234, 45.4506, -73.3918
8, 0.00000, 2270.43, -3.67975, 2240.82, 117.895, 50.2103, 142.515, 56.5027, -76.6394
9, 0.00000, 2244.86, -4.36032, 2208.9, 117.558, 59.4415, 141.842, 67.2932, -78.8611
10, 0.00000, 2232.57, -4.79461, 2192.61, 117.346, 65.6011, 141.414, 74.4892, -80.0064
11, 0.00000, 2220.41, -5.21456, 2176.56, 117.141, 71.6767, 141, 81.5772, -80.9686
12, 0.00000, 2220.59, -5.42616, 2175.02, 117.048, 74.9163, 140.791, 85.3603, -81.3921
13, 0.00000, 2220.78, -5.63179, 2173.46, 116.958, 78.1545, 140.589, 89.1372, -81.7851
14, 0.00000, 2220.93, -5.83309, 2171.86, 116.869, 81.3895, 140.391, 92.9072, -82.1509
15, 0.00000, 2246.17, -5.61819, 2198.88, 116.975, 79.1475, 140.603, 90.3037, -81.7766
16, 0.00000, 2272.38, -5.39266, 2226.83, 117.085, 76.8579, 140.825, 87.6349, -81.375
17, 0.00000, 2286.72, -5.1812, 2242.51, 117.211, 74.0561, 141.033, 84.3428, -80.9244
18, 0.00000, 2259.02, -5.60325, 2211.82, 116.979, 79.6507, 140.618, 90.8978, -81.777
19, 0.00000, 2232.76, -6.20448, 2180.6, 116.69, 88.3611, 140.027, 101.047, -82.8258
20, 0.00000, 2207.78, -6.77314, 2150.79, 116.42, 96.8607, 139.468, 110.909, -83.7007
21, 0.00000, 2245.03, -6.38017, 2191.4, 116.613, 92.162, 139.854, 105.489, -83.1248
22, 0.00000, 2300.52, -5.55292, 2238.9, 117.037, 81.0139, 140.668, 92.1411, -81.729
23, 0.00000, 2385.16, -4.22153, 2309.2, 117.529, 61.743, 141.98, 73.223, -79.2448
24, 0.00000, 2428.93, -3.25901, 2349.91, 118.004, 47.7963, 142.933, 55.9915, -75.8922
