Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66287.1,   30.0,   0.99837, 2,    66299.8,  -90.1,   0.99856, 3,    66279.3,  149.9,   0.99825
"650", 4.16, 1,    2368.81,    0.6,   0.98627, 2,    2377.43, -119.6,   0.98986, 3,    2369.39,  120.6,   0.98651
"RG60", 4.16, 1,    2584.13,    0.7,    1.0759, 2,    2506.41, -119.5,    1.0436, 3,     2584.8,  120.7,    1.0762
"633", 4.16, 1,    2465.32,   -0.8,    1.0265, 2,    2449.19, -120.6,    1.0197, 3,    2449.28,  119.6,    1.0198
"634", 0.48, 1,    279.554,   -1.3,    1.0088, 2,    278.725, -121.0,    1.0058, 3,    278.736,  119.3,    1.0058
"632", 4.16, 1,    2470.66,   -0.7,    1.0287, 2,    2452.74, -120.6,    1.0212, 3,    2453.91,  119.6,    1.0217
"671", 4.16, 1,    2375.33,   -2.4,   0.98899, 2,    2429.82, -120.8,    1.0117, 3,    2336.68,  118.8,    0.9729
"680", 4.16, 1,    2375.33,   -2.4,   0.98899, 2,    2429.82, -120.8,    1.0117, 3,    2336.68,  118.8,    0.9729
"645", 4.16, 2,    2436.25, -120.7,    1.0144, 3,     2450.6,  119.7,    1.0203, 0, 0, 0, 0
"646", 4.16, 2,    2433.25, -120.8,    1.0131, 3,    2447.02,  119.7,    1.0188, 0, 0, 0, 0
"684", 4.16, 1,    2371.77,   -2.5,   0.98751, 3,    2331.47,  118.7,   0.97073, 0, 0, 0, 0
"611", 4.16, 3,    2326.28,  118.7,   0.96857, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 1,    2361.38,   -2.4,   0.98318, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,     2375.3,   -2.4,   0.98898, 2,    2429.89, -120.8,    1.0117, 3,    2336.65,  118.8,   0.97288
"675", 4.16, 1,    2356.91,   -2.4,   0.98132, 2,    2427.07, -120.8,    1.0105, 3,    2324.78,  119.0,   0.96794
