Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUB, 56546.98, 2265.979, 56546.98, 2265.979, 0, 0
Transformer.REG1, 4480.383, 561.825, 4480.383, 561.825, 0, 0
Transformer.REG2, 2455.855, 308.7078, 2455.855, 308.7078, 0, 0
Transformer.REG3, 4360.927, 546.894, 4360.927, 546.894, 0, 0
Transformer.XFM1, 3026.902, 5503.973, 3026.902, 5503.973, 0, 0
Line.650632, 49739.4, 158150.6, 49739.4, 158150.6, 0, 0
Line.632671, 34151.99, 106027.8, 34151.99, 106027.8, 0, 0
Line.671680, 7.187772E-010, -4.127616, 7.187772E-010, -4.127616, 0, 0
Line.632633, 448.9049, 573.5497, 448.9049, 573.5497, 0, 0
Line.632645, 1525.22, 1326.1, 1525.22, 1326.1, 0, 0
Line.645646, 283.121, 224.9222, 283.121, 224.9222, 0, 0
Line.671684, 370.9328, 316.3198, 370.9328, 316.3198, 0, 0
Line.684611, 240.9924, 243.985, 240.9924, 243.985, 0, 0
Line.684652, 487.77, 110.671, 487.77, 110.671, 0, 0
Line.692675, 6378.256, 4834.031, 6378.256, 4834.031, 0, 0
Line.671692, 6.308537, 6.291187, 6.308537, 6.291187, 0, 0
Capacitor.CAP1, 1.685024E-005, -2.646978E-023, 1.685024E-005, -2.646978E-023, 0, 0
Capacitor.CAP2, 0, -28185.4, 0, -28185.4, 0, 0
