Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUB, 38174.64, 1531.091, 38174.64, 1531.091, 0, 0
Transformer.REG1, 3135.972, 393.7768, 3135.972, 393.7768, 0, 0
Transformer.REG2, 1504.525, 189.7731, 1504.525, 189.7731, 0, 0
Transformer.REG3, 2986.173, 375.0205, 2986.173, 375.0205, 0, 0
Transformer.XFM1, 2999.197, 5453.602, 2999.197, 5453.602, 0, 0
Line.650632, 34467.64, 110271.7, 34467.64, 110271.7, 0, 0
Line.632671, 22113.81, 69418.85, 22113.81, 69418.85, 0, 0
Line.671680, 7.945252E-009, -4.255249, 7.945252E-009, -4.255249, 0, 0
Line.632633, 444.5232, 567.826, 444.5232, 567.826, 0, 0
Line.632645, 1525.832, 1326.282, 1525.832, 1326.282, 0, 0
Line.645646, 283.7326, 225.4123, 283.7326, 225.4123, 0, 0
Line.671684, 359.6839, 306.5473, 359.6839, 306.5473, 0, 0
Line.684611, 236.7677, 239.697, 236.7677, 239.697, 0, 0
Line.684652, 464.8621, 98.22868, 464.8621, 98.22868, 0, 0
Line.692675, 2431.162, 1411.496, 2431.162, 1411.496, 0, 0
Line.671692, 6.683734, 6.677386, 6.683734, 6.677386, 0, 0
Capacitor.CAP1, 1.744834E-005, -4.235165E-022, 1.744834E-005, -4.235165E-022, 0, 0
Capacitor.CAP2, 1.818989E-012, -28635.35, 1.818989E-012, -28635.35, 0, 0
