hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2416.65, -1.72615, 2500.31, -119.704, 2390.19, 119.713, 19.2657, 85.4553, 110.201, -127.263, 53.7228, 148.163
2, 0.00000, 2431.53, -1.46004, 2502.26, -119.608, 2391.57, 119.819, 19.3665, 48.7326, 111.824, -127.694, 57.4343, 141.38
3, 0.00000, 2429.22, -1.2217, 2489.41, -119.547, 2408.93, 119.965, 24.7668, 25.2143, 112.603, -128.085, 62.8929, 134.856
4, 0.00000, 2427.58, -0.99402, 2492.06, -119.456, 2409.71, 120.087, 32.8018, 11.6155, 114.288, -128.5, 67.8827, 130.042
5, 0.00000, 2441.52, -0.72729, 2494.25, -119.372, 2426.83, 120.222, 43.243, 3.13695, 115.953, -128.905, 74.3885, 125.545
6, 0.00000, 2427.57, -0.994047, 2492.06, -119.456, 2409.71, 120.087, 32.8009, 11.6168, 114.288, -128.5, 67.8826, 130.042
7, 0.00000, 2400.42, -1.76838, 2485.05, -119.718, 2373.65, 119.691, 19.763, 90.2205, 109.307, -127.2, 52.8249, 149.372
8, 0.00000, 2388.79, -2.50996, 2492.95, -119.954, 2336.19, 119.278, 45.5163, 132.73, 105.285, -125.82, 47.6708, 178.746
9, 0.00000, 2358.66, -3.30653, 2502.04, -120.211, 2313.32, 118.926, 80.5353, 142.513, 101.453, -124.356, 55.8577, -154.491
10, 0.00000, 2360.14, -3.74552, 2512.25, -120.369, 2309.36, 118.709, 101.964, 144.788, 99.2269, -123.345, 65.827, -142.892
11, 0.00000, 2344.41, -4.26318, 2523.19, -120.525, 2287.62, 118.469, 126.191, 146.272, 97.0335, -122.259, 79.4087, -133.502
12, 0.00000, 2344.4, -4.4728, 2520.39, -120.62, 2285.48, 118.366, 137.203, 146.714, 95.5478, -121.665, 86.1026, -130.419
13, 0.00000, 2326.67, -4.77329, 2534.06, -120.71, 2268.38, 118.277, 151.102, 147.151, 94.6969, -121.045, 92.804, -127.65
14, 0.00000, 2326.18, -4.97985, 2531.27, -120.809, 2266.48, 118.183, 162.305, 147.409, 93.2365, -120.415, 99.581, -125.513
15, 0.00000, 2344.84, -4.68394, 2533.04, -120.686, 2283.28, 118.268, 148.124, 147.052, 94.6574, -121.022, 93.0368, -127.791
16, 0.00000, 2361.88, -4.38616, 2535.01, -120.591, 2302.78, 118.396, 134.45, 146.592, 96.1023, -121.636, 84.4891, -131.379
17, 0.00000, 2378.96, -4.10112, 2536.71, -120.486, 2305.72, 118.479, 120.94, 145.957, 97.5539, -122.22, 77.8179, -134.677
18, 0.00000, 2344.33, -4.68595, 2532.8, -120.693, 2268.91, 118.248, 148.169, 147.055, 94.6492, -121.029, 92.8315, -127.677
19, 0.00000, 2306.43, -5.48972, 2542.26, -121.012, 2248.3, 118.024, 188.165, 147.802, 90.9676, -119.093, 112.611, -122.062
20, 0.00000, 2255.26, -6.26117, 2548.21, -121.359, 2200.49, 117.733, 224.258, 147.987, 87.2921, -116.981, 130.848, -118.404
21, 0.00000, 2286.89, -5.80025, 2556.11, -121.116, 2232.19, 117.961, 203.067, 147.925, 90.1449, -118.401, 118.726, -120.652
22, 0.00000, 2362.54, -4.59349, 2547.61, -120.654, 2300.59, 118.297, 145.23, 146.952, 95.201, -120.99, 91.2655, -128.66
23, 0.00000, 2393.44, -3.39302, 2529.01, -120.245, 2329.25, 118.835, 86.6448, 143.166, 101.486, -123.933, 59.5516, -149.917
24, 0.00000, 2404.72, -2.45012, 2508.47, -119.95, 2369.62, 119.348, 43.8192, 131.657, 106.216, -125.922, 48.1415, 174.928
